time,used,free
2024-09-04 16:59:46,1110,1449
2024-09-04 17:00:46,4113,1230
2024-09-04 17:01:46,3523,2268
2024-09-04 17:02:46,11899,2468
2024-09-04 17:03:46,6965,7466
2024-09-04 17:04:46,12171,10212
2024-09-04 17:05:46,17459,4924
2024-09-04 17:06:46,17159,5224
2024-09-04 17:07:46,16966,5417
2024-09-04 17:08:46,11338,11365
2024-09-04 17:09:46,14123,9652
2024-09-04 17:10:46,19683,4092
2024-09-04 17:11:46,20470,5673
2024-09-04 17:12:46,8381,17762
2024-09-04 17:13:46,13054,13089
2024-09-04 17:14:46,9685,16458
2024-09-04 17:15:46,14913,11230
2024-09-04 17:16:46,13070,13073
2024-09-04 17:17:46,15021,11122
2024-09-04 17:18:46,10971,15172
2024-09-04 17:19:46,11740,14403
2024-09-04 17:20:46,10476,15667
2024-09-04 17:21:46,12538,13605
2024-09-04 17:22:46,11154,14989
2024-09-04 17:23:46,11811,14332
2024-09-04 17:24:46,12207,13936
2024-09-04 17:25:46,11087,15056
2024-09-04 17:26:46,13732,12411
2024-09-04 17:27:46,16206,9937
2024-09-04 17:28:46,10766,15377
2024-09-04 17:29:46,13104,13039
2024-09-04 17:30:46,9721,16422
2024-09-04 17:31:46,11783,14360
2024-09-04 17:32:46,10073,16070
2024-09-04 17:33:46,9991,16152
2024-09-04 17:34:46,10943,15200
2024-09-04 17:35:46,12563,13580
2024-09-04 17:36:46,11401,14742
2024-09-04 17:37:46,12675,13468
2024-09-04 17:38:46,11993,14150
2024-09-04 17:39:46,15242,10901
2024-09-04 17:40:46,13616,12703
2024-09-04 17:41:46,16660,9659
2024-09-04 17:42:46,10862,15841
2024-09-04 17:43:46,16167,10536
2024-09-04 17:44:46,8702,18001
2024-09-04 17:45:46,18644,8059
2024-09-04 17:46:46,11586,15117
2024-09-04 17:47:46,17658,9045
2024-09-04 17:48:46,22698,4005
2024-09-04 17:49:46,11961,14742
2024-09-04 17:50:46,12153,14550
2024-09-04 17:51:46,11409,15294
2024-09-04 17:52:46,14448,12255
2024-09-04 17:53:46,18039,8664
2024-09-04 17:54:46,12415,14288
2024-09-04 17:55:46,18411,8292
2024-09-04 17:56:46,12449,14254
2024-09-04 17:57:46,11279,15024
2024-09-04 17:58:46,14952,11351
2024-09-04 17:59:46,6199,14120
2024-09-04 18:00:46,14017,7038
2024-09-04 18:01:46,9083,10868
2024-09-04 18:02:46,13409,6542
2024-09-04 18:03:46,8197,12634
2024-09-04 18:04:46,13397,7434
2024-09-04 18:05:46,18103,5896
2024-09-04 18:06:46,13814,5385
2024-09-04 18:07:46,12985,8774
2024-09-04 18:08:46,17302,9001
2024-09-04 18:09:46,22606,3697
2024-09-04 18:10:46,20224,6079
2024-09-04 18:11:46,20423,7048
2024-09-04 18:12:46,13644,13827
2024-09-04 18:13:46,15063,15144
2024-09-04 18:14:46,15673,14534
2024-09-04 18:15:46,13771,16436
2024-09-04 18:16:46,24478,5729
2024-09-04 18:17:46,13850,16357
2024-09-04 18:18:46,13953,16254
2024-09-04 18:19:46,12186,18021
2024-09-04 18:20:46,18999,11208
2024-09-04 18:21:46,19881,10326
2024-09-04 18:22:46,25281,4926
2024-09-04 18:23:46,12396,17811
2024-09-04 18:24:46,10971,19236
2024-09-04 18:25:46,14428,15779
2024-09-04 18:26:46,11495,18712
2024-09-04 18:27:46,12052,18155
2024-09-04 18:28:46,14846,15361
2024-09-04 18:29:46,15983,14224
2024-09-04 18:30:46,21175,9032
2024-09-04 18:31:46,22273,7934
2024-09-04 18:32:46,17940,12267
2024-09-04 18:33:46,14192,16015
2024-09-04 18:34:46,12420,17787
2024-09-04 18:35:46,18040,12167
2024-09-04 18:36:46,19679,10528
2024-09-04 18:37:46,26260,3947
2024-09-04 18:38:46,11406,18801
2024-09-04 18:39:46,27544,2663
2024-09-04 18:40:46,14349,15858
2024-09-04 18:41:46,10137,10502
2024-09-04 18:42:46,15344,8415
2024-09-04 18:43:46,12683,11076
2024-09-04 18:44:46,20497,3262
2024-09-04 18:45:46,15412,8347
2024-09-04 18:46:46,20532,3227
2024-09-04 18:47:46,11411,12348
2024-09-04 18:48:46,10828,12931
2024-09-04 18:49:46,16676,7083
2024-09-04 18:50:46,17993,6774
2024-09-04 18:51:46,13970,10797
2024-09-04 18:52:46,12701,12066
2024-09-04 18:53:46,15577,9190
2024-09-04 18:54:46,20537,4230
2024-09-04 18:55:46,14393,15814
2024-09-04 18:56:46,15852,14355
2024-09-04 18:57:46,21204,9003
2024-09-04 18:58:46,13566,16641
2024-09-04 18:59:46,11645,18562
2024-09-04 19:00:46,19062,11145
2024-09-04 19:01:46,11913,18294
2024-09-04 19:02:46,18203,12004
2024-09-04 19:03:46,24264,5943
2024-09-04 19:04:46,17755,12452
2024-09-04 19:05:46,13627,16580
2024-09-04 19:06:46,13734,16473
2024-09-04 19:07:46,23361,6846
2024-09-04 19:08:46,13691,16516
2024-09-04 19:09:46,14046,16161
2024-09-04 19:10:46,14773,15434
2024-09-04 19:11:46,16820,13387
2024-09-04 19:12:46,23577,6630
2024-09-04 19:13:46,16765,13442
2024-09-04 19:14:46,18235,11972
2024-09-04 19:15:46,9465,20742
2024-09-04 19:16:46,14813,15394
2024-09-04 19:17:46,11094,19113
