dist_group,main_mode,share
0 - 1000,bike,0.014715953307392997
0 - 1000,car,0.003953307392996109
0 - 1000,pt,0.00777431906614786
0 - 1000,ride,0.0032295719844357977
0 - 1000,walk,0.26654474708171205
1000 - 2000,bike,0.05778988326848249
1000 - 2000,car,0.007501945525291829
1000 - 2000,pt,0.032326848249027235
1000 - 2000,ride,0.013206225680933853
1000 - 2000,walk,0.031922178988326846
2000 - 5000,bike,0.08602334630350195
2000 - 5000,car,0.01490272373540856
2000 - 5000,pt,0.06956420233463036
2000 - 5000,ride,0.03801556420233463
2000 - 5000,walk,0.001206225680933852
5000 - 10000,bike,0.033198443579766534
5000 - 10000,car,0.01711284046692607
5000 - 10000,pt,0.08141634241245137
5000 - 10000,ride,0.04777431906614786
5000 - 10000,walk,2.801556420233463E-4
10000 - 20000,bike,0.003252918287937743
10000 - 20000,car,0.015976653696498054
10000 - 20000,pt,0.08889494163424125
10000 - 20000,ride,0.02094941634241245
10000 - 20000,walk,1.867704280155642E-4
20000+,bike,3.891050583657588E-5
20000+,car,0.009206225680933853
20000+,pt,0.030326848249027236
20000+,ride,0.002630350194552529
20000+,walk,7.782101167315176E-5
