dist_group,main_mode,share
0 - 1000,bike,0.04967948717948719
0 - 1000,car,0.013345943673812529
0 - 1000,pt,0.026245271122320304
0 - 1000,ride,0.010902690205968896
0 - 1000,walk,0.8998266078184112
1000 - 2000,bike,0.40484108379218237
1000 - 2000,car,0.05255410783405114
1000 - 2000,pt,0.22646241072888842
1000 - 2000,ride,0.09251485580330372
1000 - 2000,walk,0.22362754184157446
2000 - 5000,bike,0.41019741724803327
2000 - 5000,car,0.07106278759091585
2000 - 5000,pt,0.3317129286032359
2000 - 5000,ride,0.18127504824105686
2000 - 5000,walk,0.005751818316758201
5000 - 10000,bike,0.18465933685395197
5000 - 10000,car,0.09518656393385852
5000 - 10000,pt,0.4528612241364383
5000 - 10000,ride,0.2657345684356332
5000 - 10000,walk,0.0015583066401177383
10000 - 20000,bike,0.025165562913907286
10000 - 20000,car,0.12360024081878386
10000 - 20000,pt,0.6877182420228778
10000 - 20000,ride,0.16207104154124022
10000 - 20000,walk,0.0014449127031908489
20000+,bike,9.203018590097551E-4
20000+,car,0.21774341984170809
20000+,pt,0.7172832689122031
20000+,ride,0.062212405669059445
20000+,walk,0.0018406037180195103
