economic_status,dist_group,main_mode,ref_share,sim_share
very_low,0 - 1000,bike,0.034706812382496253,0.01660880811381118
very_low,0 - 1000,car,0.006645660141317321,0.002722755428493636
very_low,0 - 1000,pt,0.007608696709232571,0.008712817371179633
very_low,0 - 1000,ride,0.0031247285929428773,0.003403444285617045
very_low,0 - 1000,walk,0.24469895082287615,0.27540671159213126
very_low,1000 - 2000,bike,0.0456812466540538,0.06963447008372474
very_low,1000 - 2000,car,0.017622644055559893,0.005717786399836635
very_low,1000 - 2000,pt,0.03176643067456601,0.035055476141855564
very_low,1000 - 2000,ride,0.009316330422067991,0.013069226056769453
very_low,1000 - 2000,walk,0.06872298007466464,0.03866312708460962
very_low,2000 - 5000,bike,0.05089981625669508,0.09713429991151046
very_low,2000 - 5000,car,0.0337496023448924,0.010686815056837521
very_low,2000 - 5000,pt,0.09486902097108739,0.07283370771220476
very_low,2000 - 5000,ride,0.015788943796908508,0.03525968279899259
very_low,2000 - 5000,walk,0.01757073462748898,0.0015655843713838406
very_low,5000 - 10000,bike,0.022753526491476054,0.0347832005990062
very_low,5000 - 10000,car,0.0277238506627543,0.013273432713906474
very_low,5000 - 10000,pt,0.10839849171594337,0.08379279831189165
very_low,5000 - 10000,ride,0.012009036032519247,0.04499353345585733
very_low,5000 - 10000,walk,0.0015394033588941114,2.042066571370227E-4
very_low,10000 - 20000,bike,0.004407524031423659,0.003471513171329386
very_low,10000 - 20000,car,0.019387817923563564,0.009733850656864747
very_low,10000 - 20000,pt,0.07342424019150331,0.08018514736913757
very_low,10000 - 20000,ride,0.004587556923703757,0.01599618814240011
very_low,10000 - 20000,walk,0.0012091257366962421,2.7227554284936354E-4
very_low,20000+,bike,4.1095332498232E-4,
very_low,20000+,car,0.009550733296281533,0.005990061942685998
very_low,20000+,pt,0.027400397002285908,0.019263494656592474
very_low,20000+,ride,0.004042413867625509,0.0015655843713838406
very_low,20000+,walk,3.823309134972519E-4,
low,0 - 1000,bike,0.041246470043080165,0.012166683564838287
low,0 - 1000,car,0.008910466432937744,0.004309033762546893
low,0 - 1000,pt,0.004293903536684401,0.008770151069654265
low,0 - 1000,ride,0.0033071684223682056,0.0026361147723816284
low,0 - 1000,walk,0.24947973724879838,0.28667748149650213
low,1000 - 2000,bike,0.04961773460207695,0.056524384061644534
low,1000 - 2000,car,0.019329953900366764,0.006184730812126129
low,1000 - 2000,pt,0.025483245683043533,0.03345837980330529
low,1000 - 2000,ride,0.009185948988387805,0.012065294535131301
low,1000 - 2000,walk,0.05237722044190244,0.03665213423907534
low,2000 - 5000,bike,0.052466234584333846,0.08359525499340972
low,2000 - 5000,car,0.04278374195939727,0.01368751901044307
low,2000 - 5000,pt,0.08432283560598662,0.07092162628003651
low,2000 - 5000,ride,0.01702898827541261,0.03563824394200548
low,2000 - 5000,walk,0.015885053481139822,0.0010138902970698574
low,5000 - 10000,bike,0.022672784003795167,0.03097434857548414
low,5000 - 10000,car,0.04475208451328922,0.01683057893135963
low,5000 - 10000,pt,0.09238030305339276,0.08035080604278619
low,5000 - 10000,ride,0.012354387654785704,0.04567575788299706
low,5000 - 10000,walk,0.0013482692004642123,2.5347257426746434E-4
low,10000 - 20000,bike,0.00606581254281994,0.0035993105545979926
low,10000 - 20000,car,0.031209843665855812,0.01662780087194566
low,10000 - 20000,pt,0.0653262065900355,0.08633275879549834
low,10000 - 20000,ride,0.006909609553827318,0.01825002534725743
low,10000 - 20000,walk,5.263054577439737E-4,2.5347257426746434E-4
low,20000+,bike,4.7003197176413144E-4,
low,20000+,car,0.013483593316552238,0.00937848524789618
low,20000+,pt,0.023496583359092254,0.024891006793064996
low,20000+,ride,0.0032589486332435533,0.0022305586535536857
low,20000+,walk,2.6533277421522046E-5,5.069451485349285E-5
medium,0 - 1000,bike,0.039117000639270275,0.016277351286998646
medium,0 - 1000,car,0.011217731375356295,0.0038589433063754663
medium,0 - 1000,pt,0.003667414539591027,0.00775893920111663
medium,0 - 1000,ride,0.004000959684676508,0.0032842070692557165
medium,0 - 1000,walk,0.23315013838608792,0.27070076768340245
medium,1000 - 2000,bike,0.04558521294999409,0.05546204688205591
medium,1000 - 2000,car,0.025442805363331083,0.007717886612750933
medium,1000 - 2000,pt,0.019434896147692903,0.03280101810419147
medium,1000 - 2000,ride,0.009855997679676026,0.013444722689765588
medium,1000 - 2000,walk,0.053791497044609206,0.0306868098033581
medium,2000 - 5000,bike,0.054730928906679355,0.0851225419762716
medium,2000 - 5000,car,0.053843962895243146,0.014429984810542303
medium,2000 - 5000,pt,0.06617655580215062,0.07032308387043802
medium,2000 - 5000,ride,0.01916203987731777,0.036598382528018385
medium,2000 - 5000,walk,0.013040227239873699,0.0012521039451537418
medium,5000 - 10000,bike,0.025746362493292263,0.033786280224968185
medium,5000 - 10000,car,0.05641048735516865,0.017221560819409662
medium,5000 - 10000,pt,0.0803428358681505,0.08050412578513075
medium,5000 - 10000,ride,0.014289507868521132,0.04778521285767067
medium,5000 - 10000,walk,0.0018418487953256967,3.284207069255716E-4
medium,10000 - 20000,bike,0.006346523947575606,0.0035921014819984393
medium,10000 - 20000,car,0.04150377161860775,0.016113140933535858
medium,10000 - 20000,pt,0.06295256184667311,0.0868672769818137
medium,10000 - 20000,ride,0.007480292504846956,0.020321031241019746
medium,10000 - 20000,walk,3.9041214757875366E-4,1.0263147091424114E-4
medium,20000+,bike,6.804332184464681E-4,4.105258836569645E-5
medium,20000+,car,0.02185775719424005,0.00925735867646455
medium,20000+,pt,0.023834126105462358,0.03158996674740342
medium,20000+,ride,0.0039068278179567725,0.0027299971263188144
medium,20000+,walk,1.988826866040669E-4,4.105258836569645E-5
high,0 - 1000,bike,0.04193921447266617,0.013309307030854832
high,0 - 1000,car,0.00929697620587237,0.0034774911482043504
high,0 - 1000,pt,0.0019245320576424146,0.007081436519979768
high,0 - 1000,ride,0.002954434979592225,0.0034774911482043504
high,0 - 1000,walk,0.21013293332150748,0.24598507840161865
high,1000 - 2000,bike,0.04692346920897565,0.055481790591805774
high,1000 - 2000,car,0.022359163419126023,0.007207890743550835
high,1000 - 2000,pt,0.015981054592241382,0.03075998988366212
high,1000 - 2000,ride,0.009697817108783351,0.014099645928174002
high,1000 - 2000,walk,0.04629924755619725,0.027693474962063737
high,2000 - 5000,bike,0.06385560203538199,0.08380753667172484
high,2000 - 5000,car,0.05664195116716654,0.016660343955488113
high,2000 - 5000,pt,0.06341010532730179,0.06724203338391503
high,2000 - 5000,ride,0.020629778167114116,0.04191957511380881
high,2000 - 5000,walk,0.01302233546047106,0.0011064744562468388
high,5000 - 10000,bike,0.03340249625957815,0.0343955488113303
high,5000 - 10000,car,0.055220824351894966,0.018462316641375827
high,5000 - 10000,pt,0.07681631343460592,0.086905665149216
high,5000 - 10000,ride,0.014151567281204707,0.05042362164896308
high,5000 - 10000,walk,0.0010048399305621644,3.47749114820435E-4
high,10000 - 20000,bike,0.00928354237460376,0.002655538694992413
high,10000 - 20000,car,0.050821603528762326,0.017735204855842186
high,10000 - 20000,pt,0.06361373744580247,0.09657941325240264
high,10000 - 20000,ride,0.009672528719534407,0.026049570055639862
high,10000 - 20000,walk,2.0657971873687807E-4,2.2129489124936776E-4
high,20000+,bike,4.3427613503130026E-4,6.322711178553364E-5
high,20000+,car,0.030273045982812608,0.009578907435508346
high,20000+,pt,0.025319864147407983,0.034300708143652006
high,20000+,ride,0.004383208486815367,0.00278199291856348
high,20000+,walk,3.269571226073729E-4,1.8968133535660094E-4
very_high,0 - 1000,bike,0.04115639089698632,0.014053739168426421
very_high,0 - 1000,car,0.012722254325776058,0.00618947061821889
very_high,0 - 1000,pt,0.0021241404664278096,0.006990460933517805
very_high,0 - 1000,ride,0.006479698270689628,0.00313114395980485
very_high,0 - 1000,walk,0.21073962672422655,0.2607587562804923
very_high,1000 - 2000,bike,0.049624289723521814,0.0605111774557635
very_high,1000 - 2000,car,0.027506136216120445,0.011213864414184814
very_high,1000 - 2000,pt,0.01303483773449794,0.029709458967450673
very_high,1000 - 2000,ride,0.0153056585348435,0.012087672030874538
very_high,1000 - 2000,walk,0.04457442399939019,0.032039612611956605
very_high,2000 - 5000,bike,0.05436881795634979,0.08592441564115635
very_high,2000 - 5000,car,0.06181110351680054,0.0187868637588291
very_high,2000 - 5000,pt,0.05826964813749159,0.0667734653753732
very_high,2000 - 5000,ride,0.027868419493269472,0.04041360227189981
very_high,2000 - 5000,walk,0.008853536562096665,0.0011650768222529675
