employment,dist_group,main_mode,ref_share,sim_share
child,0 - 1000,bike,0.08797447704562546,0.020360480640854474
child,0 - 1000,car,6.201632379149975E-5,
child,0 - 1000,pt,0.0024803584947749157,0.005674232309746328
child,0 - 1000,ride,0.02249149064801905,0.0021695594125500667
child,0 - 1000,walk,0.3449712729704775,0.434913217623498
child,1000 - 2000,bike,0.07427123298204033,0.11298397863818425
child,1000 - 2000,car,8.634641491562535E-5,
child,1000 - 2000,pt,0.02474873405947267,0.0267022696929239
child,1000 - 2000,ride,0.059203137402890356,0.023865153538050733
child,1000 - 2000,walk,0.08264286445303025,0.06174899866488652
child,2000 - 5000,bike,0.04011331323664293,0.10514018691588785
child,2000 - 5000,car,0.0,
child,2000 - 5000,pt,0.047887910802740935,0.04906542056074767
child,2000 - 5000,ride,0.08746818283628317,0.04072096128170895
child,2000 - 5000,walk,0.01079786692437333,0.0013351134846461949
child,5000 - 10000,bike,0.004805099180886955,0.02152870493991989
child,5000 - 10000,car,0.0,
child,5000 - 10000,pt,0.024833659725415513,0.03437917222963952
child,5000 - 10000,ride,0.043671849086048695,0.0260347129506008
child,5000 - 10000,walk,0.0012955063068117057,
child,10000 - 20000,bike,0.0,0.0013351134846461949
child,10000 - 20000,car,0.0,
child,10000 - 20000,pt,0.006359525422654799,0.016188251001335113
child,10000 - 20000,ride,0.022509064689085728,0.007843791722296396
child,10000 - 20000,walk,5.490547723028882E-4,
child,20000+,bike,0.0,
child,20000+,car,0.0,
child,20000+,pt,0.0036923972295443753,0.0065086782376502
child,20000+,ride,0.006852048186314849,0.0013351134846461949
child,20000+,walk,2.3259080585655165E-4,1.6688918558077436E-4
homemaker,0 - 1000,bike,0.033151806966215495,0.011280039234919076
homemaker,0 - 1000,car,0.017096887825047154,0.0019617459538989693
homemaker,0 - 1000,pt,0.00741600650756041,0.008827856792545363
homemaker,0 - 1000,ride,0.003227524589354174,0.0044139283962726815
homemaker,0 - 1000,walk,0.2885201729519205,0.30603236880823925
homemaker,1000 - 2000,bike,0.059202386584587534,0.06669936243256497
homemaker,1000 - 2000,car,0.04025033806294192,0.008827856792545363
homemaker,1000 - 2000,pt,0.0273866228320414,0.04462972045120156
homemaker,1000 - 2000,ride,0.006330981798157926,0.012751348700343303
homemaker,1000 - 2000,walk,0.07860929727267789,0.0485532123589995
homemaker,2000 - 5000,bike,0.04046916174769916,0.10004904364884745
homemaker,2000 - 5000,car,0.09370896621243806,0.01029916625796959
homemaker,2000 - 5000,pt,0.06043872284166353,0.09906817067189796
homemaker,2000 - 5000,ride,0.01865689653854778,0.027464443354585578
homemaker,2000 - 5000,walk,0.022329877577321945,0.0014713094654242274
homemaker,5000 - 10000,bike,0.01007054931926354,0.029426189308484545
homemaker,5000 - 10000,car,0.0517419983300954,0.015203531142717015
homemaker,5000 - 10000,pt,0.03961389187595275,0.06866110838646394
homemaker,5000 - 10000,ride,0.010868096212678242,0.027954879843060318
homemaker,5000 - 10000,walk,0.001119555974530009,
homemaker,10000 - 20000,bike,0.0013630691808948023,0.00588523786169691
homemaker,10000 - 20000,car,0.03297441162678622,0.013241785188818045
homemaker,10000 - 20000,pt,0.02062081117537517,0.059342815105443834
homemaker,10000 - 20000,ride,0.011126178544959902,0.009318293281020107
homemaker,10000 - 20000,walk,3.6647317815220574E-4,
homemaker,20000+,bike,0.0,
homemaker,20000+,car,0.009155831126737714,0.0044139283962726815
homemaker,20000+,pt,0.012519960684027233,0.013241785188818045
homemaker,20000+,ride,8.732491830433166E-4,9.808729769494847E-4
homemaker,20000+,walk,7.902732793286338E-4,
retiree,0 - 1000,bike,0.02803433594931146,0.013170477266799966
retiree,0 - 1000,car,0.015941591246107053,0.004172824480570286
retiree,0 - 1000,pt,0.008575659044152376,0.008910718942884466
retiree,0 - 1000,ride,0.004703006319317826,0.0021733460836303575
retiree,0 - 1000,walk,0.2846270602599153,0.34082413283491264
retiree,1000 - 2000,bike,0.028632402921317548,0.05624619664435365
retiree,1000 - 2000,car,0.03832910463414241,0.008867252021211858
retiree,1000 - 2000,pt,0.032952941858310617,0.03972876640876293
retiree,1000 - 2000,ride,0.01168231876013348,0.010605928888116144
retiree,1000 - 2000,walk,0.06888892277570885,0.03998956793879858
retiree,2000 - 5000,bike,0.024130989117319465,0.08797704946535687
retiree,2000 - 5000,car,0.08303426111525544,0.019342780144310182
retiree,2000 - 5000,pt,0.06608361005813324,0.08302182039467966
retiree,2000 - 5000,ride,0.022716231901212754,0.02608015300356429
retiree,2000 - 5000,walk,0.019871262845775835,0.0010432061201425715
retiree,5000 - 10000,bike,0.006523730886384607,0.029948709032426322
retiree,5000 - 10000,car,0.06094744140940063,0.01586542641050161
retiree,5000 - 10000,pt,0.053010003113323496,0.06776493088759454
retiree,5000 - 10000,ride,0.017547687886227004,0.026992958358689038
retiree,5000 - 10000,walk,0.0021268832316059514,1.7386768669042858E-4
retiree,10000 - 20000,bike,0.0027508467688472844,0.0030861514387551074
retiree,10000 - 20000,car,0.033492350519474676,0.015169955663739895
retiree,10000 - 20000,pt,0.03546978470611497,0.06272276797357211
retiree,10000 - 20000,ride,0.011801193617084637,0.011084065026514822
retiree,10000 - 20000,walk,8.557046894452218E-4,
retiree,20000+,bike,2.3940434380408774E-4,8.693384334521429E-5
retiree,20000+,car,0.017904493427535573,0.007737112057724073
retiree,20000+,pt,0.012123209640667017,0.01569155872381118
retiree,20000+,ride,0.006940672029918143,0.0015213422585412502
retiree,20000+,walk,6.289492405314406E-5,
unemployed,0 - 1000,bike,0.028473036460034625,0.015378773495348391
unemployed,0 - 1000,car,0.01206763565093488,0.0047465350294285166
unemployed,0 - 1000,pt,0.0066246780260138475,0.009872792861211312
unemployed,0 - 1000,ride,2.788219068772566E-4,0.0017087526105942657
unemployed,0 - 1000,walk,0.2900101906591626,0.3351053730776532
unemployed,1000 - 2000,bike,0.06262667569850242,0.06322384659198783
unemployed,1000 - 2000,car,0.028896506543494183,0.00854376305297133
unemployed,1000 - 2000,pt,0.02660096577041169,0.03417505221188532
unemployed,1000 - 2000,ride,0.004606811635231683,0.010822099867097016
unemployed,1000 - 2000,walk,0.06174361569499453,0.038352003037782405
unemployed,2000 - 5000,bike,0.049515654255582325,0.08088095690146191
unemployed,2000 - 5000,car,0.039677051190551225,0.020315169925954047
unemployed,2000 - 5000,pt,0.074237083423941,0.07347636225555343
unemployed,2000 - 5000,ride,0.006255362566946953,0.02696031896715397
unemployed,2000 - 5000,walk,0.029885632074737396,5.695842035314219E-4
unemployed,5000 - 10000,bike,0.0253519458398073,0.02639073476362255
unemployed,5000 - 10000,car,0.03422879715974879,0.018796278716536923
unemployed,5000 - 10000,pt,0.08366977505423692,0.07765331308145051
unemployed,5000 - 10000,ride,0.005622178708513779,0.03208657679893676
unemployed,5000 - 10000,walk,0.0,
unemployed,10000 - 20000,bike,0.00417328864141108,0.002088475412948547
unemployed,10000 - 20000,car,0.013674574163855544,0.015378773495348391
unemployed,10000 - 20000,pt,0.0734624973685337,0.06986899563318776
unemployed,10000 - 20000,ride,0.0060156277308030595,0.012530852477691283
unemployed,10000 - 20000,walk,0.003155252756840654,
unemployed,20000+,bike,0.0,
unemployed,20000+,car,0.007882285969591084,0.006455287640022781
unemployed,20000+,pt,0.020180847789405588,0.012340991076514141
unemployed,20000+,ride,0.0010832072598357227,0.0022783368141256876
unemployed,20000+,walk,0.0,
school,0 - 1000,bike,0.0619376780579444,0.014467894697591169
school,0 - 1000,car,1.8646363364950395E-4,4.474606607502424E-4
school,0 - 1000,pt,0.0036144502125357576,0.004698336937877546
school,0 - 1000,ride,0.009476152922497092,0.0027593407412931613
school,0 - 1000,walk,0.23637839402380614,0.3373853382056827
school,1000 - 2000,bike,0.09030920523969665,0.11067193675889328
school,1000 - 2000,car,6.203364901544102E-4,4.474606607502424E-4
school,1000 - 2000,pt,0.02679399804666396,0.023342531135804312
school,1000 - 2000,ride,0.02798996132264418,0.01648146767096726
school,1000 - 2000,walk,0.051908607065914554,0.037139234842270115
school,2000 - 5000,bike,0.0802477950696995,0.13751957640390783
school,2000 - 5000,car,0.0022886729071440455,0.0026101871877097474
school,2000 - 5000,pt,0.13269861709274064,0.05749869490640615
school,2000 - 5000,ride,0.056685545379448206,0.05503766127227981
school,2000 - 5000,walk,0.006499265127616391,7.457677679170707E-4
school,5000 - 10000,bike,0.009360364028456122,0.03191886046685062
school,5000 - 10000,car,0.0016790952562727782,0.002386456857334626
school,5000 - 10000,pt,0.10277327099819801,0.04996644045044373
school,5000 - 10000,ride,0.035425118596691396,0.05309866507569543
school,5000 - 10000,walk,3.8678535209195385E-4,
school,10000 - 20000,bike,5.980589328777765E-4,0.0017152658662092624
school,10000 - 20000,car,0.00132075569093999,0.0016406890894175553
school,10000 - 20000,pt,0.03797995833954222,0.036915504511895
school,10000 - 20000,ride,0.010978356237460405,0.013125512715340442
school,10000 - 20000,walk,1.7780241335867242E-4,
school,20000+,bike,2.2130407576553514E-4,
school,20000+,car,3.848559121911246E-4,5.220374375419494E-4
school,20000+,pt,0.006654790004719217,0.0063390260272951
school,20000+,ride,0.004025326946849407,0.0011186516518756058
school,20000+,walk,3.990146224299257E-4,
student,0 - 1000,bike,0.023562200238734676,0.012989896746974578
student,0 - 1000,car,0.004368932828123813,0.00444099034084601
student,0 - 1000,pt,0.0037978777376658046,0.007660708337959367
student,0 - 1000,ride,0.0015238957934069228,0.003996891306761409
student,0 - 1000,walk,0.17076517686042783,0.18896413900299772
student,1000 - 2000,bike,0.037380802503147854,0.041967358720994795
student,1000 - 2000,car,0.00768226919467931,0.008104807372043969
student,1000 - 2000,pt,0.022173945566976216,0.033307427556345075
student,1000 - 2000,ride,0.002656545205263903,0.01376707005662263
student,1000 - 2000,walk,0.05457706714842379,0.026645942045076056
student,2000 - 5000,bike,0.0643290765280945,0.07738425668924172
student,2000 - 5000,car,0.019100392334253702,0.021205728877539697
student,2000 - 5000,pt,0.11217963558936649,0.08015987565227048
student,2000 - 5000,ride,0.009152359825369634,0.03974686355057179
student,2000 - 5000,walk,0.016428944175456525,6.661485511269015E-4
student,5000 - 10000,bike,0.03403760366604838,0.03619407127789498
student,5000 - 10000,car,0.02284919232793407,0.020428555567891644
student,5000 - 10000,pt,0.16419836231237364,0.11668702120572892
student,5000 - 10000,ride,0.006876201166208597,0.06128566670367493
student,5000 - 10000,walk,0.0010687220585971445,2.2204951704230045E-4
student,10000 - 20000,bike,0.006446614720123386,0.0029976684800710565
student,10000 - 20000,car,0.018610148583394666,0.01776396136338404
student,10000 - 20000,pt,0.11860369502937147,0.12135006106361723
student,10000 - 20000,ride,0.005896199856583917,0.021205728877539697
student,10000 - 20000,walk,3.515492072038215E-4,
student,20000+,bike,6.766977939909811E-4,
student,20000+,car,0.013921636477701454,0.008104807372043969
student,20000+,pt,0.05192900423140788,0.03164205617852782
student,20000+,ride,0.004855251039669397,6.661485511269015E-4
student,20000+,walk,0.0,4.440990340846009E-4
trainee,0 - 1000,bike,0.01252150376483625,0.012727272727272726
trainee,0 - 1000,car,0.00729835619363407,0.004545454545454545
trainee,0 - 1000,pt,0.001666879651109539,0.006818181818181817
trainee,0 - 1000,ride,0.003082577168637795,0.00409090909090909
trainee,0 - 1000,walk,0.16500369285009006,0.1659090909090909
trainee,1000 - 2000,bike,0.017797944950079914,0.030454545454545453
trainee,1000 - 2000,car,0.003149993006655296,0.006363636363636363
trainee,1000 - 2000,pt,0.022685590420766198,0.022727272727272728
