income,dist_group,main_mode,ref_share,sim_share
0 - 500,0 - 1000,bike,0.03669177865113303,0.011156782149148562
0 - 500,0 - 1000,car,0.00738398850586487,0.005871990604815033
0 - 500,0 - 1000,pt,0.007978210296398438,0.01644157369348209
0 - 500,0 - 1000,ride,0.0011450141882909117,0.0035231943628890195
0 - 500,0 - 1000,walk,0.21475506048990617,0.2724603640634175
0 - 500,1000 - 2000,bike,0.05686516881650415,0.06987668819729888
0 - 500,1000 - 2000,car,0.014437527855602178,0.0064591896652965355
0 - 500,1000 - 2000,pt,0.0390932425009502,0.03405754550792719
0 - 500,1000 - 2000,ride,8.025942354514118E-4,0.010569583088667057
0 - 500,1000 - 2000,walk,0.0520912286100064,0.031121550205519672
0 - 500,2000 - 5000,bike,0.061478178043115554,0.06459189665296534
0 - 500,2000 - 5000,car,0.01709259019057143,0.015267175572519083
0 - 500,2000 - 5000,pt,0.10179655836178256,0.08103347034644744
0 - 500,2000 - 5000,ride,0.005808192545811038,0.02701115678214915
0 - 500,2000 - 5000,walk,0.004899508326691209,
0 - 500,5000 - 10000,bike,0.03557171175235263,0.03288314738696418
0 - 500,5000 - 10000,car,0.007644922733794155,0.015854374633000587
0 - 500,5000 - 10000,pt,0.12150867967192143,0.11567821491485614
0 - 500,5000 - 10000,ride,0.011819540955771745,0.04697592483852026
0 - 500,5000 - 10000,walk,0.0,
0 - 500,10000 - 20000,bike,0.0,0.0011743981209630062
0 - 500,10000 - 20000,car,0.011056434745182113,0.0064591896652965355
0 - 500,10000 - 20000,pt,0.10618540699650501,0.09042865531415151
0 - 500,10000 - 20000,ride,0.008832868383971678,0.015854374633000587
0 - 500,10000 - 20000,walk,0.0053587149815805465,
0 - 500,20000+,bike,0.0,
0 - 500,20000+,car,0.020473617216577353,0.005871990604815033
0 - 500,20000+,pt,0.036936597273339124,0.017615971814445096
0 - 500,20000+,ride,0.012292663670924705,0.0017615971814445098
0 - 500,20000+,walk,0.0,
500 - 900,0 - 1000,bike,0.03285633040326468,0.0204900718208703
500 - 900,0 - 1000,car,0.005654343128338346,0.0042247570764681035
500 - 900,0 - 1000,pt,0.013455806601091205,0.007604562737642586
500 - 900,0 - 1000,ride,0.0014720430155450261,0.005069708491761724
500 - 900,0 - 1000,walk,0.2484900388980447,0.26320236586396284
500 - 900,1000 - 2000,bike,0.04264617334968982,0.06569497253907901
500 - 900,1000 - 2000,car,0.018534858247619204,0.008660752006759613
500 - 900,1000 - 2000,pt,0.029751251528059356,0.039290240811153364
500 - 900,1000 - 2000,ride,0.005996648673162165,0.01753274186734263
500 - 900,1000 - 2000,walk,0.08238910591968338,0.03126320236586396
500 - 900,2000 - 5000,bike,0.05148933107546343,0.0935783692437685
500 - 900,2000 - 5000,car,0.024086347101453735,0.014786649767638363
500 - 900,2000 - 5000,pt,0.10376714303110611,0.07329953527672159
500 - 900,2000 - 5000,ride,0.009941756923120153,0.03823405154203634
500 - 900,2000 - 5000,walk,0.027810893954453943,0.002323616392057457
500 - 900,5000 - 10000,bike,0.02444356747516974,0.03126320236586396
500 - 900,5000 - 10000,car,0.021823598208739105,0.020912547528517112
500 - 900,5000 - 10000,pt,0.11481850923831595,0.08745247148288973
500 - 900,5000 - 10000,ride,0.004481077471219197,0.04626108998732573
500 - 900,5000 - 10000,walk,0.0015299020696576571,4.224757076468103E-4
500 - 900,10000 - 20000,bike,0.005785773375604517,0.0033798056611744824
500 - 900,10000 - 20000,car,0.013083644583328785,0.01182931981411069
500 - 900,10000 - 20000,pt,0.0785125271572437,0.07604562737642587
500 - 900,10000 - 20000,ride,0.0026437558668103564,0.012040557667934094
500 - 900,10000 - 20000,walk,0.001061215548380429,
500 - 900,20000+,bike,5.099617633072952E-4,
500 - 900,20000+,car,0.0028259746070602057,0.006759611322348965
500 - 900,20000+,pt,0.02913734121574752,0.01753274186734263
500 - 900,20000+,ride,0.0010010795693204933,8.449514152936206E-4
500 - 900,20000+,walk,0.0,
900 - 1500,0 - 1000,bike,0.03598849459141939,0.011036789297658865
900 - 1500,0 - 1000,car,0.008086997634789334,0.0037625418060200674
900 - 1500,0 - 1000,pt,0.0052987717024463475,0.009280936454849498
900 - 1500,0 - 1000,ride,0.0019538343304679596,0.003010033444816054
900 - 1500,0 - 1000,walk,0.2657550676806446,0.29105351170568566
900 - 1500,1000 - 2000,bike,0.040605263162403794,0.04724080267558529
900 - 1500,1000 - 2000,car,0.01812661237956905,0.00568561872909699
900 - 1500,1000 - 2000,pt,0.030980710717920055,0.03235785953177258
900 - 1500,1000 - 2000,ride,0.005657519926746879,0.011956521739130435
900 - 1500,1000 - 2000,walk,0.052767277220398486,0.034113712374581946
900 - 1500,2000 - 5000,bike,0.048302112782945675,0.07851170568561873
900 - 1500,2000 - 5000,car,0.0400131096865356,0.014882943143812711
900 - 1500,2000 - 5000,pt,0.09014630107046427,0.07316053511705686
900 - 1500,2000 - 5000,ride,0.00971385484617255,0.03494983277591974
900 - 1500,2000 - 5000,walk,0.016648527622471678,0.0011705685618729098
900 - 1500,5000 - 10000,bike,0.02542794849236244,0.029431438127090304
900 - 1500,5000 - 10000,car,0.042103639907011055,0.01864548494983278
900 - 1500,5000 - 10000,pt,0.10420342271601411,0.08394648829431438
900 - 1500,5000 - 10000,ride,0.0076336256875916084,0.047993311036789305
900 - 1500,5000 - 10000,walk,0.00209221136538624,2.508361204013378E-4
900 - 1500,10000 - 20000,bike,0.005488321233178788,0.0035117056856187293
900 - 1500,10000 - 20000,car,0.028042448389659046,0.014632107023411372
900 - 1500,10000 - 20000,pt,0.0686150844425172,0.08938127090301004
900 - 1500,10000 - 20000,ride,0.00489773284647681,0.020986622073578595
900 - 1500,10000 - 20000,walk,3.757036840591023E-4,6.688963210702341E-4
900 - 1500,20000+,bike,5.080049357036463E-4,
900 - 1500,20000+,car,0.01066048722573624,0.009698996655518396
900 - 1500,20000+,pt,0.027150349480580222,0.02533444816053512
900 - 1500,20000+,ride,0.002383258599110134,0.003344481605351171
900 - 1500,20000+,walk,3.733056392179901E-4,
1500 - 2000,0 - 1000,bike,0.03199595024121871,0.014515930618772297
1500 - 2000,0 - 1000,car,0.00868784119731794,0.004736129905277402
1500 - 2000,0 - 1000,pt,0.004993365067173659,0.007934555295854349
1500 - 2000,0 - 1000,ride,0.0023206260617257154,0.002952392668224874
1500 - 2000,0 - 1000,walk,0.24159595914040996,0.2746955345060893
1500 - 2000,1000 - 2000,bike,0.041114415864531385,0.05240496986099152
1500 - 2000,1000 - 2000,car,0.023491765740579814,0.006273834419977857
1500 - 2000,1000 - 2000,pt,0.02604275793509364,0.03542871201869849
1500 - 2000,1000 - 2000,ride,0.007016076224911016,0.013593307909952024
1500 - 2000,1000 - 2000,walk,0.06013562478859627,0.03247631935047361
1500 - 2000,2000 - 5000,bike,0.046319459096635866,0.07866896297207529
1500 - 2000,2000 - 5000,car,0.05127689250314955,0.013224258826423915
1500 - 2000,2000 - 5000,pt,0.07917696836034206,0.07442489851150204
1500 - 2000,2000 - 5000,ride,0.014397871998404654,0.03302989297576578
1500 - 2000,2000 - 5000,walk,0.017090002385039937,0.0014146881535244188
1500 - 2000,5000 - 10000,bike,0.022045388691979195,0.03616681018575471
1500 - 2000,5000 - 10000,car,0.05014154146035284,0.016176651494648787
1500 - 2000,5000 - 10000,pt,0.09913772578726264,0.08641899372616559
1500 - 2000,5000 - 10000,ride,0.012401987929874406,0.04748431541395006
