pt_abo_avail,dist_group,main_mode,ref_share,sim_share
yes,0 - 1000,bike,0.02687773527258714,
yes,0 - 1000,car,0.004609738415460027,
yes,0 - 1000,pt,0.005611418090702144,
yes,0 - 1000,ride,0.002009607976268384,
yes,0 - 1000,walk,0.21704628334108247,
yes,1000 - 2000,bike,0.03134611779793659,
yes,1000 - 2000,car,0.011886217774270636,
yes,1000 - 2000,pt,0.03268994045589096,
yes,1000 - 2000,ride,0.004885892680583903,
yes,1000 - 2000,walk,0.049037458291423135,
yes,2000 - 5000,bike,0.041515694901885676,
yes,2000 - 5000,car,0.02526366671773831,
yes,2000 - 5000,pt,0.11828715810574975,
yes,2000 - 5000,ride,0.013319548343406453,
yes,2000 - 5000,walk,0.012645027907752996,
yes,5000 - 10000,bike,0.020009685488222757,
yes,5000 - 10000,car,0.024961050219294668,
yes,5000 - 10000,pt,0.14380745218170302,
yes,5000 - 10000,ride,0.009869154521698923,
yes,5000 - 10000,walk,0.0015995635368503832,
yes,10000 - 20000,bike,0.005153976338662628,
yes,10000 - 20000,car,0.018507075295630702,
yes,10000 - 20000,pt,0.11421724799309252,
yes,10000 - 20000,ride,0.006420798868946036,
yes,10000 - 20000,walk,5.065512201440518E-4,
yes,20000+,bike,4.503275438312916E-4,
yes,20000+,car,0.011373225663843512,
yes,20000+,pt,0.042587774643345226,
yes,20000+,ride,0.003252900811229525,
yes,20000+,walk,2.5170960076603563E-4,
no,0 - 1000,bike,0.04920378711353716,
no,0 - 1000,car,0.01718199677051874,
no,0 - 1000,pt,0.0014676064701637846,
no,0 - 1000,ride,0.0037388193898886704,
no,0 - 1000,walk,0.228341655208404,
no,1000 - 2000,bike,0.06096742501079712,
no,1000 - 2000,car,0.03802701934901354,
no,1000 - 2000,pt,0.005819832811864449,
no,1000 - 2000,ride,0.010726983971031036,
no,1000 - 2000,walk,0.05198032221002274,
no,2000 - 5000,bike,0.07422011095918415,
no,2000 - 5000,car,0.08628816036798165,
no,2000 - 5000,pt,0.0204610065545864,
no,2000 - 5000,ride,0.01929742368448913,
no,2000 - 5000,walk,0.014685717787976133,
no,5000 - 10000,bike,0.03698538695028662,
no,5000 - 10000,car,0.08769873514183765,
no,5000 - 10000,pt,0.021860522255242692,
no,5000 - 10000,ride,0.015098401866535358,
no,5000 - 10000,walk,0.0014461399829227442,
no,10000 - 20000,bike,0.010107370860379442,
no,10000 - 20000,car,0.07086755599846503,
no,10000 - 20000,pt,0.015244718838564974,
no,10000 - 20000,ride,0.00786458808584544,
no,10000 - 20000,walk,5.447331264401869E-4,
no,20000+,bike,9.236480015640315E-4,
no,20000+,car,0.03677502331024536,
no,20000+,pt,0.00764503341808044,
no,20000+,ride,0.004379284805261599,
no,20000+,walk,1.5098969886978103E-4,
unknown,0 - 1000,bike,0.08452578986227006,
unknown,0 - 1000,car,6.486504146205827E-5,
unknown,0 - 1000,pt,0.002175395846041459,
unknown,0 - 1000,ride,0.021684233861045763,
unknown,0 - 1000,walk,0.34731038526891134,
unknown,1000 - 2000,bike,0.07464418315020238,
unknown,1000 - 2000,car,3.16211749246317E-4,
unknown,1000 - 2000,pt,0.02428926385010706,
unknown,1000 - 2000,ride,0.05746270563561737,
unknown,1000 - 2000,walk,0.08500884635887647,
unknown,2000 - 5000,bike,0.03960672674551991,
unknown,2000 - 5000,car,0.0,
unknown,2000 - 5000,pt,0.04812409458714954,
unknown,2000 - 5000,ride,0.08632711015520911,
unknown,2000 - 5000,walk,0.01129386656497147,
unknown,5000 - 10000,bike,0.004812536200797506,
unknown,5000 - 10000,car,4.4170618535102315E-4,
unknown,5000 - 10000,pt,0.024705916309625302,
unknown,5000 - 10000,ride,0.043816530547673184,
unknown,5000 - 10000,walk,0.0013550153438346378,
unknown,10000 - 20000,bike,0.0,
unknown,10000 - 20000,car,8.468921174164319E-4,
unknown,10000 - 20000,pt,0.006606733358829172,
unknown,10000 - 20000,ride,0.023100724541931888,
unknown,10000 - 20000,walk,5.742755841204714E-4,
unknown,20000+,bike,0.0,
unknown,20000+,car,0.0,
unknown,20000+,pt,0.003862007367512052,
unknown,20000+,ride,0.006800708909865809,
unknown,20000+,walk,2.4327485641202528E-4,
