link,Agents,car,freight,walk,bike
-25151518,35.0,0.0,0.0,24.0,11.0
-574070499,18.0,0.0,0.0,17.0,1.0
-385408208,15.0,0.0,0.0,12.0,3.0
-296669638,14.0,0.0,0.0,11.0,3.0
-103978146,13.0,0.0,0.0,10.0,3.0
-10711388,13.0,0.0,0.0,11.0,2.0
-29341982,12.0,0.0,0.0,8.0,4.0
-1058260032,12.0,0.0,0.0,9.0,3.0
-227584124,11.0,0.0,0.0,5.0,6.0
-241028998,10.0,0.0,0.0,8.0,2.0
-935821471,7.0,0.0,0.0,6.0,1.0
-394640677,7.0,0.0,0.0,4.0,3.0
-332969013,6.0,0.0,0.0,5.0,1.0
157877527,6.0,0.0,0.0,5.0,1.0
-159321865,4.0,0.0,0.0,3.0,1.0
-58879552,4.0,0.0,0.0,4.0,0.0
-126194926,4.0,0.0,0.0,3.0,1.0
-342802344,3.0,0.0,0.0,3.0,0.0
-242022445,3.0,0.0,0.0,1.0,2.0
-37458226,3.0,0.0,0.0,2.0,1.0
