purpose,h,arrival,departure
dining,6,0.0,1.556420233463035E-5
dining,7,4.669260700389105E-5,4.669260700389105E-5
dining,8,9.33852140077821E-5,1.7120622568093385E-4
dining,9,4.280155642023346E-4,5.136186770428016E-4
dining,10,7.548638132295719E-4,7.937743190661479E-4
dining,11,0.0028715953307392995,0.003377431906614786
dining,12,0.0062568093385214005,0.006264591439688716
dining,13,0.00378988326848249,0.0034941634241245135
dining,14,0.0017198443579766536,0.0016108949416342412
dining,15,0.0016653696498054474,0.0018132295719844357
dining,16,0.0023813229571984437,0.0027081712062256807
dining,17,0.0034863813229571985,0.0035252918287937743
dining,18,0.003509727626459144,0.003190661478599222
dining,19,0.002101167315175097,0.0018132295719844357
dining,20,0.0011673151750972762,0.001019455252918288
dining,21,4.902723735408561E-4,4.4357976653696497E-4
dining,22,2.801556420233463E-4,2.4124513618677042E-4
dining,23,1.556420233463035E-5,1.556420233463035E-5
dining,24,3.11284046692607E-5,3.11284046692607E-5
dining,31,7.782101167315174E-6,7.782101167315174E-6
edu_higher,4,0.0,7.782101167315174E-6
edu_higher,5,7.782101167315174E-6,0.0
edu_higher,6,3.891050583657588E-5,4.4357976653696497E-4
edu_higher,7,0.001245136186770428,0.0025603112840466924
edu_higher,8,0.0028560311284046695,0.002093385214007782
edu_higher,9,0.0021400778210116734,0.0024824902723735408
edu_higher,10,0.0021556420233463033,0.0011673151750972762
edu_higher,11,9.494163424124514E-4,0.0010350194552529183
edu_higher,12,8.793774319066148E-4,6.692607003891051E-4
edu_higher,13,9.416342412451362E-4,0.0010116731517509727
edu_higher,14,6.22568093385214E-4,4.2023346303501945E-4
edu_higher,15,1.4007782101167315E-4,1.556420233463035E-4
edu_higher,16,2.4124513618677042E-4,2.568093385214008E-4
edu_higher,17,1.7120622568093385E-4,1.1673151750972762E-4
edu_higher,18,3.891050583657588E-5,1.556420233463035E-5
edu_higher,19,1.556420233463035E-5,1.556420233463035E-5
edu_higher,20,2.3346303501945526E-5,1.556420233463035E-5
edu_kiga,5,0.0,7.782101167315174E-6
