link_id,name,road_type,hour,observed_traffic_volume,simulated_traffic_volume,geh
81629728,10000_A115_Südwest,motorway,23,396.25823809523934,200.0,11.366472283392271
81629728,10000_A115_Südwest,motorway,22,568.4322678571435,600.0,1.3060403951439137
81629728,10000_A115_Südwest,motorway,21,675.1952559523803,400.0,11.868949198591025
81629728,10000_A115_Südwest,motorway,20,858.4109285714281,900.0,1.402600645927535
81629728,10000_A115_Südwest,motorway,19,1202.996928571428,1000.0,6.116423086799656
81629728,10000_A115_Südwest,motorway,18,1606.656922619048,900.0,19.960718354270888
81629728,10000_A115_Südwest,motorway,17,1794.5802023809522,2100.0,6.921207296478616
81629728,10000_A115_Südwest,motorway,16,1956.8239821428563,1800.0,3.6184039720693337
81629728,10000_A115_Südwest,motorway,15,1910.7689464285718,1200.0,18.02227306169974
81629728,10000_A115_Südwest,motorway,14,1703.604113095237,1800.0,2.303116928717658
81629728,10000_A115_Südwest,motorway,13,1572.5576428571435,800.0,22.430425122082163
81629728,10000_A115_Südwest,motorway,12,1480.0409642857128,500.0,31.147424309105638
81629728,10000_A115_Südwest,motorway,11,1433.2555416666676,500.0,30.017252842041426
81629728,10000_A115_Südwest,motorway,10,1398.9378988095239,600.0,25.27134576537592
81629728,10000_A115_Südwest,motorway,9,1443.4764404761913,600.0,26.38779715292607
81629728,10000_A115_Südwest,motorway,8,1473.4298333333325,900.0,16.64589240682775
81629728,10000_A115_Südwest,motorway,7,1375.4344999999998,1000.0,10.89375608244556
81629728,10000_A115_Südwest,motorway,6,1128.5019821428566,1300.0,4.921583656637604
81629728,10000_A115_Südwest,motorway,5,598.4955952380957,300.0,14.082992515394384
81629728,10000_A115_Südwest,motorway,4,225.15945833333328,0.0,21.220719042168824
81629728,10000_A115_Südwest,motorway,3,117.14954166666675,0.0,15.306831263633029
81629728,10000_A115_Südwest,motorway,2,91.40227380952392,0.0,13.520523200640124
81629728,10000_A115_Südwest,motorway,1,107.02652976190478,0.0,14.630552263117396
81629728,10000_A115_Südwest,motorway,0,181.3618452380952,0.0,19.04530625839843
4354349,10001_A115_Nordost,motorway_link,0,284.82205208333323,0.0,23.867218190787682
4354349,10001_A115_Nordost,motorway_link,1,181.69141666666678,0.0,19.06260300518619
4354349,10001_A115_Nordost,motorway_link,2,177.82457812500002,0.0,18.85866263153355
4354349,10001_A115_Nordost,motorway_link,3,238.49411979166678,100.0,10.645615297360106
4354349,10001_A115_Nordost,motorway_link,4,418.5495,0.0,28.932663202684957
4354349,10001_A115_Nordost,motorway_link,5,1308.913640625,300.0,35.57153649751682
4354349,10001_A115_Nordost,motorway_link,6,2494.267739583332,800.0,41.74626183878451
4354349,10001_A115_Nordost,motorway_link,7,2757.4041197916677,500.0,55.93562441000794
4354349,10001_A115_Nordost,motorway_link,8,2446.1193072916676,800.0,40.85959595302288
4354349,10001_A115_Nordost,motorway_link,9,2040.4150208333322,400.0,46.960951789429984
4354349,10001_A115_Nordost,motorway_link,10,1736.1036197916678,100.0,53.99794223216651
4354349,10001_A115_Nordost,motorway_link,11,1698.8695677083322,600.0,32.41186179359811
4354349,10001_A115_Nordost,motorway_link,12,1707.6996822916676,100.0,53.47573751890226
4354349,10001_A115_Nordost,motorway_link,13,1744.1855364583323,400.0,41.052823758725246
4354349,10001_A115_Nordost,motorway_link,14,1802.258796875,500.0,38.38267397577817
4354349,10001_A115_Nordost,motorway_link,15,1841.6495208333322,800.0,28.661506738418677
4354349,10001_A115_Nordost,motorway_link,16,1890.697859375,700.0,33.08325158326546
4354349,10001_A115_Nordost,motorway_link,17,1976.4544427083322,600.0,38.350020983253216
4354349,10001_A115_Nordost,motorway_link,18,1896.9506562499998,600.0,36.70569664360129
4354349,10001_A115_Nordost,motorway_link,19,1451.8487499999999,800.0,19.426395508581553
4354349,10001_A115_Nordost,motorway_link,20,1069.743729166668,400.0,24.706023254843437
4354349,10001_A115_Nordost,motorway_link,21,847.28759375,400.0,17.91094700917608
4354349,10001_A115_Nordost,motorway_link,22,657.7125156249999,300.0,16.346754934151942
4354349,10001_A115_Nordost,motorway_link,23,430.02071875,0.0,29.326463092231222
43336764#1,10003_Clayallee_Süd,secondary,23,123.22379057591615,0.0,15.698649023143115
43336764#1,10003_Clayallee_Süd,secondary,22,209.14680628272288,0.0,20.45222756976476
43336764#1,10003_Clayallee_Süd,secondary,21,260.75459685863905,100.0,11.969402229551681
43336764#1,10003_Clayallee_Süd,secondary,20,372.67953926701534,200.0,10.204695391262836
43336764#1,10003_Clayallee_Süd,secondary,19,540.8755602094243,600.0,2.4754998150581358
43336764#1,10003_Clayallee_Süd,secondary,18,684.5383036649214,200.0,23.040122843552133
43336764#1,10003_Clayallee_Süd,secondary,17,710.2431832460736,400.0,13.167647381756467
43336764#1,10003_Clayallee_Süd,secondary,16,717.9709319371727,700.0,0.6749194332923183
43336764#1,10003_Clayallee_Süd,secondary,15,724.8422198952884,600.0,4.850588139360798
43336764#1,10003_Clayallee_Süd,secondary,14,675.139853403141,400.0,11.866865472617018
43336764#1,10003_Clayallee_Süd,secondary,13,640.2812984293191,400.0,10.535607248560169
43336764#1,10003_Clayallee_Süd,secondary,12,647.7783455497382,100.0,28.329141623847065
43336764#1,10003_Clayallee_Süd,secondary,11,628.297382198953,100.0,27.684652849244635
43336764#1,10003_Clayallee_Süd,secondary,10,598.7148062827229,200.0,19.95177293906445
43336764#1,10003_Clayallee_Süd,secondary,9,545.100062827225,500.0,1.9729369556740879
43336764#1,10003_Clayallee_Süd,secondary,8,549.3316020942412,300.0,12.099117199889902
43336764#1,10003_Clayallee_Süd,secondary,7,436.97340314136096,800.0,14.597324462274566
43336764#1,10003_Clayallee_Süd,secondary,6,222.88636649214624,200.0,1.5739103962334007
43336764#1,10003_Clayallee_Süd,secondary,5,133.05549738219935,100.0,3.0621680322564964
43336764#1,10003_Clayallee_Süd,secondary,4,54.63354973821993,0.0,10.453090427067005
43336764#1,10003_Clayallee_Süd,secondary,3,20.36406282722515,0.0,6.381859106439933
43336764#1,10003_Clayallee_Süd,secondary,2,21.799036649214624,0.0,6.602883710806154
43336764#1,10003_Clayallee_Süd,secondary,1,24.550366492146626,0.0,7.007191519024812
43336764#1,10003_Clayallee_Süd,secondary,0,56.835518324607364,0.0,10.661662002202787
30243829#6,10004_Berliner Strasse_West,primary,0,89.85155208333327,0.0,13.405338644236727
30243829#6,10004_Berliner Strasse_West,primary,1,49.61733333333327,0.0,9.96165983492041
30243829#6,10004_Berliner Strasse_West,primary,2,36.43091145833327,0.0,8.535913713051846
30243829#6,10004_Berliner Strasse_West,primary,3,41.92695833333327,0.0,9.157178422782126
30243829#6,10004_Berliner Strasse_West,primary,4,95.80828125000001,0.0,13.842563436733819
30243829#6,10004_Berliner Strasse_West,primary,5,335.32021875000004,100.0,15.95033547930972
30243829#6,10004_Berliner Strasse_West,primary,6,696.1503541666673,500.0,8.020680335369713
30243829#6,10004_Berliner Strasse_West,primary,7,1187.2152760416673,1000.0,5.661226295118126
30243829#6,10004_Berliner Strasse_West,primary,8,1343.2687239583329,800.0,16.595539982317632
30243829#6,10004_Berliner Strasse_West,primary,9,1210.5074895833327,600.0,20.29111121013997
30243829#6,10004_Berliner Strasse_West,primary,10,1165.7307291666673,600.0,19.039806461713535
30243829#6,10004_Berliner Strasse_West,primary,11,1174.135015625,500.0,23.300575268526476
30243829#6,10004_Berliner Strasse_West,primary,12,1162.055984375,200.0,36.86530776606561
30243829#6,10004_Berliner Strasse_West,primary,13,1190.1741614583327,300.0,32.61155199886912
30243829#6,10004_Berliner Strasse_West,primary,14,1242.5234479166672,400.0,29.399585349059468
30243829#6,10004_Berliner Strasse_West,primary,15,1364.6860677083328,600.0,24.397852011136365
30243829#6,10004_Berliner Strasse_West,primary,16,1361.5596614583328,1200.0,4.514354858422346
30243829#6,10004_Berliner Strasse_West,primary,17,1288.8186093749998,800.0,15.125591426509944
30243829#6,10004_Berliner Strasse_West,primary,18,1172.44325,400.0,27.548254722138307
30243829#6,10004_Berliner Strasse_West,primary,19,894.5651458333326,600.0,10.775537207491906
30243829#6,10004_Berliner Strasse_West,primary,20,600.5845885416672,800.0,7.535620955214402
30243829#6,10004_Berliner Strasse_West,primary,21,435.11588541666725,100.0,20.487364352415558
30243829#6,10004_Berliner Strasse_West,primary,22,354.58998437500003,0.0,26.630433131100215
30243829#6,10004_Berliner Strasse_West,primary,23,206.9486145833327,0.0,20.344464337176966
5364049#0,10005_Teltower Damm_Nord,secondary,23,123.50485714285719,100.0,2.223459028019972
5364049#0,10005_Teltower Damm_Nord,secondary,22,209.5259047619047,100.0,8.80406715168577
5364049#0,10005_Teltower Damm_Nord,secondary,21,268.1742380952383,400.0,7.212244220546177
5364049#0,10005_Teltower Damm_Nord,secondary,20,347.1359047619047,300.0,2.620409090449048
5364049#0,10005_Teltower Damm_Nord,secondary,19,496.3928095238092,600.0,4.42508691804976
5364049#0,10005_Teltower Damm_Nord,secondary,18,586.2512857142859,700.0,4.485373195279164
5364049#0,10005_Teltower Damm_Nord,secondary,17,627.2540476190475,700.0,2.823883674024352
5364049#0,10005_Teltower Damm_Nord,secondary,16,625.1436190476189,700.0,2.908120177227295
5364049#0,10005_Teltower Damm_Nord,secondary,15,644.7414285714283,600.0,1.7934334778867982
5364049#0,10005_Teltower Damm_Nord,secondary,14,605.716047619048,700.0,3.6900173384777117
5364049#0,10005_Teltower Damm_Nord,secondary,13,574.0790000000002,400.0,7.887952573968076
5364049#0,10005_Teltower Damm_Nord,secondary,12,576.543523809524,300.0,13.20966328627838
5364049#0,10005_Teltower Damm_Nord,secondary,11,575.7164285714285,600.0,1.001558368476772
5364049#0,10005_Teltower Damm_Nord,secondary,10,582.850714285714,300.0,13.462590670128128
5364049#0,10005_Teltower Damm_Nord,secondary,9,618.2581428571432,200.0,20.678271570642732
5364049#0,10005_Teltower Damm_Nord,secondary,8,679.7140952380951,600.0,3.151328247020304
5364049#0,10005_Teltower Damm_Nord,secondary,7,711.0352857142854,500.0,8.576136324509255
