quality,road_type,n,share
major under,trunk_link,1.0,1.0
major under,trunk,8.0,0.7272727272727273
major under,tertiary,9.0,0.5294117647058824
major under,motorway_link,42.0,0.4158415841584158
major under,motorway,43.0,0.524390243902439
major under,primary,86.0,0.7747747747747747
major under,secondary,89.0,0.644927536231884
under,trunk,2.0,0.18181818181818182
under,tertiary,5.0,0.29411764705882354
under,primary,16.0,0.14414414414414414
under,motorway,26.0,0.3170731707317073
under,secondary,30.0,0.21739130434782608
under,motorway_link,35.0,0.3465346534653465
ok,tertiary,1.0,0.058823529411764705
ok,trunk,1.0,0.09090909090909091
ok,primary,5.0,0.04504504504504504
ok,motorway,7.0,0.08536585365853659
ok,secondary,11.0,0.07971014492753623
ok,motorway_link,13.0,0.12871287128712872
over,motorway,1.0,0.012195121951219513
over,primary,2.0,0.018018018018018018
over,tertiary,2.0,0.11764705882352941
over,secondary,5.0,0.036231884057971016
over,motorway_link,6.0,0.0594059405940594
major over,primary,2.0,0.018018018018018018
major over,secondary,3.0,0.021739130434782608
major over,motorway,5.0,0.06097560975609756
major over,motorway_link,5.0,0.04950495049504951
