hour,mean_rel_error,mean_abs_error,mean_bias
23,359.18705431057407,51.817801767596144,41.98002631693385
22,362.81635982341624,63.93608129663983,53.61735855887923
21,445.56843512361144,92.61216956909261,82.13787241336492
20,434.85356256585686,100.51977248649109,87.79636520457251
19,422.29948514756967,119.72171998396911,106.64483397166403
18,376.3479754523634,123.75557363209424,105.11132881387378
17,369.4201705400511,129.1535437009885,110.28741209761802
16,286.838905681326,106.29107393307696,76.07049117061528
15,265.65435951600983,117.09871990182992,87.20038358886627
14,266.73447269027605,125.69482719092834,99.94243030723104
13,278.72883310461947,125.07185830229507,89.43615940316614
12,209.35908625604833,102.54537521080414,67.58186370445702
11,254.9837298868467,122.08413646568121,94.3140961638637
10,226.13483775593872,108.78011045833328,76.91394172343239
9,245.9885493945434,127.62902653943394,103.48592233463476
8,279.8531196819884,138.34069722427293,106.50326817102335
7,282.80333736237276,128.59661420473813,103.93384603428943
6,272.1088774944588,111.25379876790683,71.49340022598405
5,251.85716588452487,59.05405271004931,33.80744365695344
4,274.8968376237111,42.1104323371755,22.783179005324612
3,247.86451548541027,31.43660690544422,15.254254751369846
2,237.58002486225297,28.229439284727952,16.27721674739048
1,206.68810226046406,19.138121247138734,7.853673525857824
0,163.82639722851502,18.1196765949074,2.1932784506640792
