road_type,hour,congestion_index
all,0,0.7714283267155564
all,1,0.7711550928062209
all,2,0.7707546896696309
all,3,0.7703071767794125
all,4,0.7694896845311788
all,5,0.7656917495014823
all,6,0.7571571122057272
all,7,0.7489871913909081
all,8,0.748417274376353
all,9,0.7538199334568089
all,10,0.7561595124415436
all,11,0.7569365300780889
all,12,0.7575006855213566
all,13,0.75565125210366
all,14,0.7539485506141448
all,15,0.7511431681808501
all,16,0.7490468012507381
all,17,0.7506463110698456
all,18,0.7531813722476421
all,19,0.7581062230290541
all,20,0.7610687125364549
all,21,0.7644219896250053
all,22,0.7656204222389562
all,23,0.7682551477084172
living_street,0,0.815371629677326
living_street,1,0.8153722686798864
living_street,2,0.8153697982923332
living_street,3,0.8153385006841575
living_street,4,0.8153664438124796
living_street,5,0.8153536827949822
living_street,6,0.8153348490738641
living_street,7,0.815196974850444
living_street,8,0.8150901202432006
living_street,9,0.8150136549508231
living_street,10,0.8149301525365235
living_street,11,0.815171712774091
living_street,12,0.8151661304443134
living_street,13,0.8152596068915041
living_street,14,0.8151792407152458
living_street,15,0.8150815240480359
living_street,16,0.8151633732565418
living_street,17,0.8149245335026983
living_street,18,0.8152750535144622
living_street,19,0.8153288321103118
living_street,20,0.8152762375618685
living_street,21,0.8153574516404978
living_street,22,0.8153594272152442
living_street,23,0.8153659413471981
motorway,0,0.8340895633961827
motorway,1,0.831790823024077
motorway,2,0.8288118022106966
motorway,3,0.8250251984355855
motorway,4,0.8228115315285525
motorway,5,0.8036174243487042
motorway,6,0.7773571463896791
motorway,7,0.7406566932105026
motorway,8,0.7405879370854287
motorway,9,0.7663122322192557
motorway,10,0.7739632400897817
motorway,11,0.7829433736076314
motorway,12,0.7866163375492095
motorway,13,0.7747940350893142
motorway,14,0.7713937231186722
motorway,15,0.7636983978490998
motorway,16,0.7496272844084355
motorway,17,0.7525079453487188
motorway,18,0.7568153871251204
motorway,19,0.7815023992135464
motorway,20,0.789740105852588
motorway,21,0.8011723870718802
motorway,22,0.7935649051523218
motorway,23,0.8111297926381654
motorway_link,0,0.7813881419536202
motorway_link,1,0.7810880588023597
motorway_link,2,0.7805688421459154
motorway_link,3,0.7808250290922409
motorway_link,4,0.7763573777293504
motorway_link,5,0.7653178938361513
motorway_link,6,0.7426295459728202
motorway_link,7,0.7170160009040645
motorway_link,8,0.7109850468320574
motorway_link,9,0.7368041068640374
motorway_link,10,0.7456204669945354
motorway_link,11,0.7452685193502024
motorway_link,12,0.748919379179209
motorway_link,13,0.7411567766154852
motorway_link,14,0.7327897569773113
motorway_link,15,0.7289427786128174
motorway_link,16,0.7229213944113512
motorway_link,17,0.7233453552844683
motorway_link,18,0.7297381802829891
motorway_link,19,0.7428836401488845
motorway_link,20,0.7495079831761225
motorway_link,21,0.7659818314706146
motorway_link,22,0.76884897000201
motorway_link,23,0.7770982947162551
primary,0,0.7182949010598315
primary,1,0.717234592059359
primary,2,0.715913626862786
primary,3,0.7138093233013958
primary,4,0.711083503072091
primary,5,0.6975367106715605
primary,6,0.6608038483120836
primary,7,0.6411933702646878
primary,8,0.6425370097403468
primary,9,0.6559727347472739
primary,10,0.6646753936060394
primary,11,0.6643426324507248
primary,12,0.6668720945240665
primary,13,0.6608746149373546
primary,14,0.6554818015134037
primary,15,0.6447223681461677
primary,16,0.6376154625642804
primary,17,0.6431738306516895
primary,18,0.6544637350157876
primary,19,0.6700868462588252
primary,20,0.6814810928301298
primary,21,0.6938009994691803
primary,22,0.6997242130609784
primary,23,0.7093278269146174
primary_link,0,0.687815676903027
primary_link,1,0.6876226444515819
primary_link,2,0.6869160410788626
primary_link,3,0.6851980372257827
primary_link,4,0.6837295490138685
primary_link,5,0.6805257737707116
primary_link,6,0.6546695949967462
primary_link,7,0.656288327334295
primary_link,8,0.6479374173980683
primary_link,9,0.6607775610981292
primary_link,10,0.6534935091286618
primary_link,11,0.6530538325176346
primary_link,12,0.6640574812957021
primary_link,13,0.6619724084683389
primary_link,14,0.6543214422243941
primary_link,15,0.6640833630791726
primary_link,16,0.6405915487967143
primary_link,17,0.6348657301778012
primary_link,18,0.6349610335863467
primary_link,19,0.639576108953476
primary_link,20,0.6736198224563275
primary_link,21,0.674208804150434
primary_link,22,0.6748342233396285
primary_link,23,0.6841689211690785
residential,0,0.7757620399974836
residential,1,0.7757460407198818
residential,2,0.775718761231048
residential,3,0.775690037065136
residential,4,0.7756518157900678
residential,5,0.7752486851246787
residential,6,0.7735890883600358
residential,7,0.7719066220791401
residential,8,0.7716317380152082
residential,9,0.7724315707167396
residential,10,0.7731707530649249
residential,11,0.7733099598468196
residential,12,0.7732412955884921
residential,13,0.773180743709858
residential,14,0.772667137550208
residential,15,0.7720948291781118
residential,16,0.7714246605356564
residential,17,0.7719695226961784
residential,18,0.7729087938459922
residential,19,0.7735564493392301
residential,20,0.7743701582017232
residential,21,0.7749317051679824
residential,22,0.7753135612105292
residential,23,0.7755112905472294
secondary,0,0.7310859782399706
secondary,1,0.7306908951313401
secondary,2,0.730251858245656
secondary,3,0.7299899600965539
secondary,4,0.7282008585704741
secondary,5,0.7220138962503002
secondary,6,0.7049087466634179
secondary,7,0.6908672065194648
secondary,8,0.6870136958536809
secondary,9,0.697394379540699
secondary,10,0.7000270064205497
secondary,11,0.702637064940336
secondary,12,0.7032605797966396
secondary,13,0.6990685574469402
secondary,14,0.6957769614841723
secondary,15,0.6899903840089658
secondary,16,0.6882390715733083
secondary,17,0.6916502222398266
secondary,18,0.6965291668979284
secondary,19,0.705330600838116
secondary,20,0.7111192904003858
secondary,21,0.7177002817070659
secondary,22,0.7231591119115124
secondary,23,0.726867811107768
secondary_link,0,0.6372402184517473
secondary_link,1,0.6368070110616221
secondary_link,2,0.6371032857599332
secondary_link,3,0.6366469221581008
secondary_link,4,0.6352209750971468
secondary_link,5,0.6334916595917729
secondary_link,6,0.6261662565984131
secondary_link,7,0.6156484725593317
secondary_link,8,0.610656908028876
secondary_link,9,0.6152764327944816
secondary_link,10,0.6227842469274356
secondary_link,11,0.6264522628984035
secondary_link,12,0.6248021955786388
secondary_link,13,0.6241400979143743
secondary_link,14,0.6152274167846925
secondary_link,15,0.6164764165810896
secondary_link,16,0.6187138948192276
secondary_link,17,0.6231441091577454
secondary_link,18,0.6222368549284487
secondary_link,19,0.6249909033747528
secondary_link,20,0.627529479714105
secondary_link,21,0.6313305560242425
secondary_link,22,0.6347020264187604
secondary_link,23,0.6363144172370141
tertiary,0,0.7715866176679071
tertiary,1,0.7714179348814405
tertiary,2,0.7712963872272239
tertiary,3,0.771186094345903
tertiary,4,0.7702614734396889
tertiary,5,0.7667914432282421
tertiary,6,0.7563575054692422
tertiary,7,0.7476345314938161
tertiary,8,0.7475394857566715
tertiary,9,0.7528404886146538
tertiary,10,0.7551957333218374
tertiary,11,0.7549637974304161
tertiary,12,0.7554474814524859
tertiary,13,0.7544724067982922
tertiary,14,0.7510811194726068
tertiary,15,0.7487838355812921
tertiary,16,0.7470028137095016
tertiary,17,0.7490602810201509
tertiary,18,0.7532270849817797
tertiary,19,0.7582869877532042
tertiary,20,0.7618687304598479
tertiary,21,0.7646016671321864
tertiary,22,0.7674427164441957
tertiary,23,0.7696080582762993
trunk,0,0.7867681475622711
trunk,1,0.7889554941162434
trunk,2,0.7885274187732317
trunk,3,0.7854662115724022
trunk,4,0.7785678779425094
trunk,5,0.7642953372482737
trunk,6,0.7494831564435382
trunk,7,0.7092819038985063
trunk,8,0.7193412624176733
trunk,9,0.7369386712468922
trunk,10,0.7522050735925094
trunk,11,0.7364876645167554
trunk,12,0.7371794539365844
trunk,13,0.7431493810440991
trunk,14,0.7424734686488551
trunk,15,0.7291422525907887
trunk,16,0.7319791305013872
trunk,17,0.7410071164435541
trunk,18,0.7375023319113978
trunk,19,0.747851902814728
trunk,20,0.7528819287992463
trunk,21,0.7683295894392421
trunk,22,0.7772739202292281
trunk,23,0.7761711961710195
trunk_link,0,0.7754359012372181
trunk_link,1,0.7754960983992086
trunk_link,2,0.775371318591643
trunk_link,3,0.7750623255772975
trunk_link,4,0.7704911861049992
trunk_link,5,0.7683755101308914
trunk_link,6,0.7558418505121415
trunk_link,7,0.7404831772406516
trunk_link,8,0.723700305617002
trunk_link,9,0.7464819384758021
trunk_link,10,0.7547836464267541
trunk_link,11,0.7456936160758697
trunk_link,12,0.7585794225058426
trunk_link,13,0.7517738221150982
trunk_link,14,0.7537090241017099
trunk_link,15,0.7237909357531052
trunk_link,16,0.7351416794507335
trunk_link,17,0.7380714894659407
trunk_link,18,0.7468819005956411
trunk_link,19,0.756666089983334
trunk_link,20,0.7577846736584448
trunk_link,21,0.7699925888307848
trunk_link,22,0.772108125672682
trunk_link,23,0.7731350758599492
unclassified,0,0.776358454166747
unclassified,1,0.7762003418452215
unclassified,2,0.7756861020877128
unclassified,3,0.7763231594582258
unclassified,4,0.7761630606234097
unclassified,5,0.7755625933015318
unclassified,6,0.7750014095497632
unclassified,7,0.7735606449591793
unclassified,8,0.7738382577874061
unclassified,9,0.7735755112083379
unclassified,10,0.7742215423988581
unclassified,11,0.7745020096135452
unclassified,12,0.7744721404050231
unclassified,13,0.7743892954053927
unclassified,14,0.7737084754611514
unclassified,15,0.7722243647821152
unclassified,16,0.7726591814595195
unclassified,17,0.7729826611478374
unclassified,18,0.7733033185433237
