Iteration	bike	car	freight	pt	ride	walk
0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.0	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0	0.0	0.0
6	0.0	0.0	0.0	0.0	0.0	0.0
7	0.0	0.0	0.0	0.0	0.0	0.0
8	0.0	0.0	0.0	0.0	0.0	0.0
9	0.07614737350879891	0.15244304325856273	0.030213985983259	0.10962936924665509	0.03288331832062746	0.17729090230023947
10	0.09133400707427994	0.17235318672144473	0.030213985983259	0.13555374914866972	0.0408968077861019	0.19858514401212735
11	0.10294505349649581	0.1861007975042292	0.030213985983259	0.1520530790693587	0.04753718390930861	0.21269525671727046
12	0.11177691851396182	0.19617944943647428	0.030213985983259	0.16418041610826725	0.053139486345760927	0.2234055407869587
13	0.11998264384735374	0.20489048047982072	0.030213985983259	0.17380868686424852	0.05861546235472461	0.2322758529780082
14	0.1265406331700244	0.21115187732056154	0.030213985983259	0.1817342970758178	0.06379484588175846	0.23963574049256323
15	0.13234066392776325	0.21630379858075005	0.030213985983259	0.1882318694114287	0.06840301425840895	0.24627062416240086
16	0.13808027769844233	0.22147219720104577	0.030213985983259	0.19372432278049959	0.07273106751323681	0.25197179075949644
17	0.14400114243030077	0.2252400202122284	0.030213985983259	0.19874991761319946	0.07716347738207703	0.2570413252191489
18	0.14894984291583366	0.22883208471560076	0.030213985983259	0.20305050860118198	0.08155744007733375	0.26133093130039325
19	0.15360195091943668	0.2320891095634598	0.030213985983259	0.20724125052178308	0.08598435749280489	0.26530197508623155
20	0.15788057209394293	0.2348078739811499	0.030213985983259	0.21070149614429773	0.0901531295999297	0.2685754772941978
21	0.16153305358437506	0.237449744051673	0.030213985983259	0.2141068172331217	0.09414065074587517	0.27156337192697233
22	0.16533383131577212	0.2398829008941714	0.030213985983259	0.21753410813542193	0.09799086055759387	0.2746721005338665
23	0.16859634861700024	0.24198651053452555	0.030213985983259	0.2203682140738625	0.1018905024496342	0.27725904607069884
24	0.17176549421095416	0.24388140694685503	0.030213985983259	0.22335061625326802	0.10542764241931586	0.2795109519520179
25	0.17518180020651625	0.24523804292901552	0.030213985983259	0.2258441900828262	0.10832216534481623	0.2817463804732298
26	0.17853768921501856	0.24691324120658215	0.030213985983259	0.22849704506008744	0.11161214491288969	0.28376760331304784
27	0.18116857437880352	0.24836324889601688	0.030213985983259	0.23102357360986006	0.11496254146802294	0.2853329525232331
28	0.18382142935606477	0.24951117165015269	0.030213985983259	0.23355559461300174	0.11829646066304897	0.2870850451479667
29	0.18618867675813433	0.25052178307006173	0.030213985983259	0.23558780235955798	0.12109211942790606	0.2884197113166509
30	0.18842410527934617	0.25164773601072127	0.030213985983259	0.23740580442472042	0.1240086121668827	0.2898807039128238
31	0.1907803677746776	0.25265285497726125	0.030213985983259	0.23938858009095504	0.12702396906650262	0.2914240833095327
32	0.1927631434409122	0.2534602456225147	0.030213985983259	0.24110771799547423	0.1300503108728607	0.292764241931586
33	0.1950974361227673	0.2542346815475537	0.030213985983259	0.24278840872640992	0.13299975833205177	0.2940110288463651
34	0.1972559702968122	0.25491574576531845	0.030213985983259	0.24453500889777446	0.1358228793637542	0.29518092141397717
35	0.1988377968671046	0.2553880967550585	0.030213985983259	0.246281609069139	0.13898653250433904	0.2964222158753872
36	0.20053496495814752	0.25614605531999035	0.030213985983259	0.24786343563943142	0.14145813652042094	0.29756464617615397
37	0.20238042929015532	0.25672825537711186	0.030213985983259	0.2494287848496166	0.14374299712195443	0.2985587802359558
38	0.20428081815585386	0.25734890260781684	0.030213985983259	0.2510270887800163	0.14634642001889403	0.29953094448228135
39	0.20607135795417098	0.2577937913307116	0.030213985983259	0.2523397851352242	0.14879605422149966	0.30036030494101107
40	0.20771909396489224	0.25838697629457125	0.030213985983259	0.25357558714326517	0.15113034690335478	0.30113474086605
41	0.20908122240042182	0.25891974427137115	0.030213985983259	0.2550805193663906	0.15319001691675638	0.3019586088714107
42	0.21086077729200078	0.2593866028077422	0.030213985983259	0.2562339345738955	0.1554693850649208	0.3027220598897115
43	0.2120636245798273	0.25983698398400595	0.030213985983259	0.2575301535689962	0.1575839796120131	0.3035404354417031
44	0.21333238130808269	0.2602049783597337	0.030213985983259	0.25882088011072785	0.15970406661247447	0.30426543928642047
45	0.21452973614254015	0.2606443746292594	0.030213985983259	0.25982599907726783	0.16193949513368633	0.30503438275809036
46	0.21597974383197488	0.26089702748423665	0.030213985983259	0.26099589164487996	0.16403211986730232	0.30556715073489027
47	0.21720456093327767	0.26112771052573763	0.030213985983259	0.2621108596788013	0.16595997099984622	0.3062921545796076
48	0.2185996440890217	0.26144627282114374	0.030213985983259	0.2631159786453413	0.1678109277852231	0.3068249225564075
49	0.21992332535096776	0.26170991058285914	0.030213985983259	0.26416503723883383	0.16967286947733815	0.30740712261352904
