Iteration;bike;car;freight;pt;ride;walk
0;95958;776039;229015;418844;65670;78374
1;105032;750627;231999;396918;92310;101408
2;107668;736499;234119;393008;103835;111920
3;109888;731066;234712;385807;113179;116032
4;111558;718869;235850;387353;120346;120652
5;112502;714341;236121;384285;128016;124479
6;113340;706727;235749;380614;134347;128111
7;113497;708040;236269;378679;136194;129414
8;116084;699382;236205;377313;140878;129133
9;117411;698946;238052;373115;145453;128432
10;115673;698507;237788;381343;145285;127773
11;117290;693407;237659;381842;147023;127417
12;116259;693276;237857;384785;149979;125005
13;116104;692876;237972;386536;152156;121799
14;116779;691390;237504;386647;151381;122020
15;119005;690963;237637;389237;152054;119841
16;117690;693243;237089;388087;152672;117446
17;120057;689346;237523;390284;154569;114451
18;118894;689466;237658;394849;152545;114485
19;116754;689355;237332;396875;152649;112662
20;115682;692316;237516;403155;148096;111872
21;114886;688961;238803;405790;149335;110030
22;116509;683541;239021;408385;148484;110627
23;115918;686055;239640;406298;150282;108515
24;117147;686652;239353;406073;150339;110261
25;115498;685185;239325;409620;146483;110363
26;116039;687164;239912;408173;148826;107023
27;117552;686354;240326;407881;147415;108478
28;117607;679728;238837;413602;149587;106682
29;117676;681822;239387;416584;146681;104493
30;118980;677441;239451;415289;149792;104913
31;115412;678467;239243;418847;149692;105710
32;115918;676137;239304;420055;149620;105141
33;116780;677058;239078;420485;148114;105272
34;118996;673048;238654;421295;147757;104335
35;115330;673336;239178;420508;148499;106591
36;115575;672691;238958;423646;149888;104750
37;115872;672402;239311;423635;145958;105754
38;116721;673751;239449;425520;144073;104302
39;115882;673281;238859;426986;143736;104410
40;117288;672761;238931;425691;145388;103422
41;115638;671758;239542;430066;144390;104537
42;117020;667630;239333;426405;146960;105544
43;114747;667290;238842;430623;147747;105438
44;116381;664125;238638;429925;146943;105372
45;115582;665670;239438;433541;144539;104595
46;115537;666750;239049;430278;144797;105352
47;116953;666927;238946;429914;145162;102390
48;116785;667785;239201;432893;143901;103284
49;117455;667170;238541;435847;139250;103467
50;116051;664726;238885;435190;142240;105374
51;116177;663821;237937;435700;142518;104512
52;119581;663013;238322;435233;140863;103103
53;117156;663171;238225;436141;140228;105031
54;117464;663220;238757;438535;138316;103869
55;117414;658119;238559;438989;143598;103090
56;115837;661490;238701;442995;136610;104964
57;117931;660443;239196;441667;139217;102770
58;116281;653981;238147;442207;143655;104809
59;116480;657068;238352;441117;142714;104894
60;116825;657508;238333;440104;141495;105395
61;116069;658421;238783;441493;141805;103780
62;115947;655009;238139;445029;141117;104213
63;116669;652579;239221;444424;143468;103835
64;116212;653967;237952;446010;139549;104162
65;117508;651896;238785;447167;139883;103016
66;117486;653234;238392;443541;139981;104477
67;117448;652458;238228;443656;143053;102570
68;116330;652602;238507;444282;140879;104947
69;115776;652634;238076;442396;143092;104743
70;116352;649559;237958;445000;142157;104292
71;114828;655304;237835;443028;143091;103381
72;115797;651211;238057;445454;143007;102776
73;117123;650267;238305;445673;142457;103333
74;116478;650308;238548;448977;141542;102742
75;116031;647034;238593;448076;142752;104080
76;116225;652231;238652;447818;138513;104693
77;116180;648172;238120;448583;143120;103673
78;114309;651055;237913;447943;142099;103157
79;116352;649586;238065;448243;139833;103663
80;116325;645156;238059;448632;143277;103722
81;116675;649264;237696;448787;139457;101943
82;116915;648051;237355;450037;139901;102665
83;116980;647212;237828;450040;140050;103158
84;116746;645406;237711;452664;141579;103580
85;115325;644275;237509;453389;142820;102781
86;116756;648005;237998;451621;140096;102756
87;117923;645685;238463;450011;141595;103116
88;115391;643663;238221;454427;140533;104065
89;114709;644739;236845;453021;142032;102893
90;117621;644414;236756;449167;139373;103213
91;115012;651541;237468;448743;139368;102439
92;117620;641866;236764;453182;140244;102854
93;117497;642466;236944;449938;143952;103353
94;114322;644382;237037;454445;141613;102913
95;115372;643819;237394;453362;141132;104165
96;115583;644163;237274;455367;142394;102283
97;113345;642513;236724;456214;139148;105001
98;116206;643706;236841;453722;140871;101402
99;114775;640606;237374;458373;140997;102628
100;114540;644517;236571;450960;141303;103465
101;114000;643946;236013;451232;143175;103370
102;115434;643351;236037;455140;139911;103638
103;117269;642075;235857;453485;141295;102689
104;116822;636416;237712;456469;140649;102686
105;115608;643040;237429;454697;139316;102392
106;114501;640394;237555;459986;139587;101821
107;114280;637941;236408;457169;144551;103137
108;114563;641783;236943;457947;140604;102023
109;114499;640943;236612;456513;141465;102197
110;115016;640873;237752;454506;143922;101780
111;114600;640358;236238;455183;143090;103700
112;115896;639479;236861;459710;141918;100766
113;115059;638259;236072;458263;143848;100921
114;115579;637330;236391;459261;141782;102140
115;114497;635749;236550;455769;145612;103196
116;113462;637903;236032;457857;145366;101524
117;112241;639772;236044;456106;144179;102491
118;115151;635050;236570;457156;143943;103793
119;114980;639198;236241;458647;141027;102225
120;115872;636354;237755;456741;144960;101834
121;116094;634189;236814;460156;142315;102207
122;113841;640366;235997;457826;141476;101472
123;114870;635012;236003;459211;143203;101763
124;113860;636692;236142;459732;142387;102314
125;113230;638362;236363;463207;140016;101242
126;117053;634921;235331;458166;142348;102305
127;114120;636648;236115;459168;141073;102954
128;113206;639517;235772;459957;141022;100745
129;114481;636062;235715;459584;142090;101687
130;113561;637041;236005;460830;145006;99641
131;113698;633040;235427;461172;144614;102430
132;114549;634910;235572;460821;142963;102691
133;114682;632984;235709;462548;142834;100988
134;113925;635678;236174;456255;145602;103661
135;114284;632626;235819;461014;144866;101504
136;115748;634246;235325;462393;143342;100246
137;114126;634629;234828;458726;144133;101071
138;113661;631388;235124;461786;143607;102520
139;115065;633779;236116;458444;144674;102083
140;114238;629346;236212;461234;146119;102209
141;113841;635675;236044;460489;141972;102427
142;112766;634097;235699;463220;141306;102647
143;113282;632293;235698;464584;143075;101248
144;114325;628778;235318;462800;146167;102791
145;114243;633974;236111;463952;141867;101025
146;113174;631493;236050;463777;143114;102598
147;113416;628547;236136;467745;144882;100874
148;112827;631407;236378;464262;143643;100232
149;113677;631449;236710;461023;144261;102145
150;113157;634144;235868;463483;142980;101153
151;114289;631374;236046;461548;145721;101541
152;115035;631203;236524;462667;144204;100966
153;114231;629691;235788;464041;144652;100216
154;114033;632765;235708;464846;142202;100996
155;112287;629329;236011;465543;144438;101452
156;112661;633636;235353;464182;143615;99369
157;114472;630030;235048;464372;144036;101217
158;114680;628744;235459;465755;143486;100127
159;111821;630820;235107;466720;143796;100634
160;113376;629489;235057;465176;146095;99403
161;114251;631282;235853;460663;144814;101921
162;112803;630375;235374;464464;145437;100437
163;114759;628398;235222;463863;145880;101091
164;112386;628739;235983;466082;146408;99703
165;115028;628418;235496;464392;144418;99516
166;113404;630616;235433;464799;142389;100350
167;115077;631435;235068;464386;144809;98942
168;113674;627236;236258;469101;143526;99950
169;112714;628432;235617;465376;144627;100446
170;112818;628837;235804;465697;145707;99411
171;114042;626218;235680;469249;145424;100370
172;113675;623651;235832;468804;147137;99983
173;112431;625543;235535;468999;145873;100505
174;112357;627552;235353;467055;146113;99963
175;113299;628790;234865;466299;143635;100334
176;113480;623588;235044;471044;144413;98655
177;112309;626052;235083;468088;144897;101586
178;113364;624576;235106;468050;145393;100448
179;112450;628878;235623;468818;144681;97762
180;111079;629117;235814;468856;144220;100447
181;110985;627802;235538;470909;143801;99239
182;111117;629197;235937;467372;146677;98803
183;111769;627749;235323;468593;144786;99932
184;111595;629314;234617;467010;145935;99776
185;111891;626668;235404;467273;146545;99152
186;112748;627549;235638;467145;147777;97796
187;111103;628592;235138;469969;146128;99118
188;111577;627006;235326;467870;146438;99197
189;111422;626418;235227;467768;147406;98690
190;112730;628459;235101;465544;148090;97607
191;109432;625135;234297;470081;147066;99639
192;113632;624557;234662;465481;149096;98602
