iteration;avg_executed;avg_worst;avg_average;avg_best
0;-46.46206122330424;-46.46206122330424;-46.46206122330424;-46.46206122330424
1;-49.351569616441566;-49.439144906923644;-47.838389701754096;-46.23763449658454
2;-50.78569746430017;-52.26099959811901;-48.73725577138314;-45.1985502346205
3;-49.378541798604616;-53.79336907513058;-49.20841770370161;-44.59080671134688
4;-50.04907596479499;-56.59435017547906;-50.39950778638194;-44.14517997439357
5;-51.22760867555875;-59.556295755162964;-51.816230489888376;-43.66539449555029
6;-50.485089516693954;-61.006195423280126;-52.69474639967164;-43.81415192060705
7;-50.28845354096737;-63.20208587155625;-53.63506384485981;-43.46095887713957
8;-51.26755103663341;-65.62838166906495;-54.97852835026109;-43.18980521014293
9;-52.141535377959535;-67.38535249158572;-55.81543936250866;-42.84300142818424
10;-51.956632349176935;-68.44036787252769;-56.70188033658725;-42.90630485934766
11;-50.840034281460284;-69.33632870671508;-57.23019541236931;-42.896939758464484
12;-51.65634577305356;-70.68553844485419;-58.132813157759216;-42.490387880364516
13;-52.248540055024314;-72.26788688517823;-58.6646902868261;-42.154687294178885
14;-52.31335149681815;-73.74580830767302;-60.058608022055395;-42.87750977079423
15;-50.72647876909989;-74.82954551112508;-60.22925661885609;-42.36235869547167
16;-49.41253346214519;-75.06919363603676;-60.38267416086234;-42.288287413325484
17;-49.319292102085306;-75.33977761973367;-60.35502037738301;-41.595792353392355
18;-48.957384042781726;-75.78915272381845;-60.6420004813001;-41.355416800728456
19;-48.31246451397362;-76.19118174020288;-60.88932783377481;-41.6218455974225
20;-49.40583111283836;-77.00163757166557;-61.469815109146026;-41.73861464706244
21;-50.17366833447173;-77.25301868836162;-61.59792399950708;-41.666968460205304
22;-51.01660744832971;-78.00110362083107;-62.01744042054682;-41.583224677358196
23;-51.05442421378244;-77.97382919881976;-62.04043189675101;-41.19960202786251
24;-51.86112499424895;-78.56613046390285;-62.39969714552972;-41.361715659350466
25;-51.623480823142046;-78.54918803429442;-62.6025573415379;-40.98224019938103
26;-52.96586325266292;-78.67948154848379;-62.784980466896755;-40.87388031051873
27;-51.22109547902729;-79.0431269302956;-62.941246757440645;-40.57792496420747
28;-50.51116783863797;-79.3676634656586;-63.14915789502987;-40.72750909534284
29;-51.30967465855669;-79.170289407062;-63.07881652097058;-40.7670203006018
30;-51.62816700672353;-79.32735954717829;-63.23510944576305;-40.79037450257779
31;-50.987547186875105;-79.39007652710362;-63.21697506177737;-40.58209415918671
32;-49.92979236537365;-79.38111467023344;-63.09547652978386;-40.16417377072637
33;-50.91301696511671;-79.74646705907317;-63.34090728570006;-40.339836305316915
34;-49.427182277056275;-79.6661318491251;-63.11867437348638;-40.219312457896145
35;-50.78649694706789;-79.73349934550622;-63.19380505912677;-40.20239163699794
36;-51.34682496242261;-79.36207676730064;-63.079257885196654;-40.12301714236625
37;-52.59491657003656;-79.38308799986254;-63.30124193277868;-40.20473554258053
38;-51.44521260407884;-78.71795067940963;-62.976027414479425;-40.429205355074934
39;-49.82581609811867;-78.62057833410881;-62.76805513083707;-40.07010440676374
40;-50.38038644625962;-78.6587543096844;-62.707269290991825;-40.00739058074511
41;-50.26999000549971;-78.1861707747243;-62.532782587746944;-39.70769011048532
42;-49.83941478381924;-78.05890176196581;-62.32981141248417;-39.91270729060997
43;-49.67780031019085;-77.95304491630307;-62.21240066849593;-39.6023477254914
44;-50.22112123710738;-78.10201213078123;-62.24032269294142;-39.6233710206312
45;-49.340433037958405;-77.57953299778376;-62.028315817579546;-39.6710868809978
46;-49.336791583428386;-77.37513693244209;-62.015460901434416;-39.658495628223505
47;-50.470836477161335;-77.10015631201706;-61.828975519218034;-39.50514398128245
48;-50.99593405439473;-76.71080030946041;-61.57252060538124;-39.56836606218333
49;-49.84886207168597;-76.57390995975031;-61.477492536691855;-39.49517387559869
