iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
0;17:00:22;17:00:22;17:00:22;;;17:00:22;17:00:22;17:00:28;17:00:28;17:00:28;17:00:29;17:00:29;17:02:17;17:02:17;17:02:18;17:02:18;17:02:18;17:02:18;;;17:02:26;17:02:26;;00:00:00;;00:00:06;00:00:06;00:00:00;00:01:48;00:00:00;00:00:00;;00:00:08;00:02:04
1;17:02:26;17:02:26;17:02:26;17:02:26;17:02:46;17:02:46;17:02:46;17:02:53;17:02:53;17:02:53;17:02:54;17:02:54;17:04:18;17:04:18;17:04:18;17:04:18;17:04:18;17:04:18;;;17:04:19;17:04:19;;00:00:00;00:00:19;00:00:07;00:00:07;00:00:01;00:01:23;00:00:00;00:00:00;;00:00:01;00:01:52
2;17:04:19;17:04:19;17:04:19;17:04:19;17:04:37;17:04:37;;;17:04:37;17:04:37;17:04:38;17:04:38;17:06:00;17:06:00;17:06:00;17:06:00;17:06:00;17:06:00;;;17:06:02;17:06:02;;00:00:00;00:00:17;;00:00:00;00:00:00;00:01:22;00:00:00;00:00:00;;00:00:01;00:01:42
3;17:06:02;17:06:02;17:06:02;17:06:02;17:06:18;17:06:18;;;17:06:18;17:06:18;17:06:19;17:06:19;17:07:39;17:07:39;17:07:39;17:07:39;17:07:39;17:07:39;;;17:07:41;17:07:41;;00:00:00;00:00:15;;00:00:00;00:00:00;00:01:20;00:00:00;00:00:00;;00:00:01;00:01:39
4;17:07:41;17:07:41;17:07:41;17:07:41;17:07:58;17:07:58;;;17:07:58;17:07:58;17:07:59;17:07:59;17:09:19;17:09:19;17:09:19;17:09:19;17:09:19;17:09:19;;;17:09:21;17:09:21;;00:00:00;00:00:17;;00:00:00;00:00:00;00:01:19;00:00:00;00:00:00;;00:00:01;00:01:39
5;17:09:21;17:09:21;17:09:21;17:09:21;17:09:38;17:09:38;;;17:09:38;17:09:38;17:09:39;17:09:39;17:10:57;17:10:57;17:10:57;17:10:57;17:10:57;17:10:57;;;17:10:59;17:10:59;;00:00:00;00:00:17;;00:00:00;00:00:00;00:01:17;00:00:00;00:00:00;;00:00:01;00:01:37
6;17:10:59;17:10:59;17:10:59;17:10:59;17:11:16;17:11:16;;;17:11:16;17:11:16;17:11:17;17:11:17;17:12:36;17:12:36;17:12:36;17:12:36;17:12:36;17:12:36;;;17:12:38;17:12:38;;00:00:00;00:00:16;;00:00:00;00:00:00;00:01:19;00:00:00;00:00:00;;00:00:01;00:01:38
7;17:12:38;17:12:38;17:12:38;17:12:38;17:12:54;17:12:54;;;17:12:54;17:12:54;17:12:55;17:12:55;17:14:15;17:14:15;17:14:15;17:14:15;17:14:15;17:14:15;;;17:14:17;17:14:17;;00:00:00;00:00:16;;00:00:00;00:00:00;00:01:20;00:00:00;00:00:00;;00:00:01;00:01:39
8;17:14:17;17:14:17;17:14:17;17:14:17;17:14:34;17:14:34;;;17:14:34;17:14:34;17:14:35;17:14:35;17:15:57;17:15:57;17:15:57;17:15:57;17:15:57;17:15:57;;;17:15:58;17:15:58;;00:00:00;00:00:16;;00:00:00;00:00:01;00:01:22;00:00:00;00:00:00;;00:00:01;00:01:41
9;17:15:58;17:15:58;17:15:59;17:15:59;17:16:15;17:16:15;;;17:16:15;17:16:15;17:16:16;17:16:16;17:17:35;17:17:35;17:17:35;17:17:35;17:17:35;17:17:35;;;17:17:36;17:17:36;;00:00:00;00:00:16;;00:00:00;00:00:01;00:01:18;00:00:00;00:00:00;;00:00:01;00:01:37
10;17:17:36;17:17:36;17:17:37;17:17:37;17:17:53;17:17:53;;;17:17:54;17:17:54;17:17:55;17:17:55;17:19:12;17:19:12;17:19:13;17:19:13;17:19:13;17:19:13;17:19:13;17:19:13;17:19:14;17:19:14;;00:00:00;00:00:16;;00:00:00;00:00:01;00:01:17;00:00:00;00:00:00;00:00:00;00:00:01;00:01:37
11;17:19:14;17:19:14;17:19:14;17:19:14;17:19:31;17:19:31;;;17:19:31;17:19:31;17:19:32;17:19:32;17:20:50;17:20:50;17:20:50;17:20:50;17:20:50;17:20:50;;;17:20:51;17:20:51;;00:00:00;00:00:17;;00:00:00;00:00:01;00:01:17;00:00:00;00:00:00;;00:00:01;00:01:37
12;17:20:51;17:20:51;17:20:52;17:20:52;17:21:08;17:21:08;;;17:21:08;17:21:08;17:21:09;17:21:09;17:22:27;17:22:27;17:22:27;17:22:27;17:22:27;17:22:27;;;17:22:28;17:22:28;;00:00:00;00:00:16;;00:00:00;00:00:01;00:01:17;00:00:00;00:00:00;;00:00:01;00:01:36
13;17:22:28;17:22:28;17:22:28;17:22:28;17:22:46;17:22:46;;;17:22:46;17:22:46;17:22:47;17:22:47;17:24:07;17:24:07;17:24:07;17:24:07;17:24:07;17:24:07;;;17:24:09;17:24:09;;00:00:00;00:00:18;;00:00:00;00:00:01;00:01:19;00:00:00;00:00:00;;00:00:01;00:01:40
14;17:24:09;17:24:09;17:24:09;17:24:09;17:24:26;17:24:26;;;17:24:27;17:24:27;17:24:28;17:24:28;17:25:49;17:25:49;17:25:49;17:25:49;17:25:49;17:25:49;;;17:25:50;17:25:50;;00:00:00;00:00:17;;00:00:00;00:00:01;00:01:21;00:00:00;00:00:00;;00:00:01;00:01:41
15;17:25:50;17:25:50;17:25:50;17:25:50;17:26:09;17:26:09;;;17:26:09;17:26:09;17:26:10;17:26:10;17:27:30;17:27:30;17:27:30;17:27:30;17:27:30;17:27:30;;;17:27:31;17:27:31;;00:00:00;00:00:18;;00:00:00;00:00:01;00:01:19;00:00:00;00:00:00;;00:00:01;00:01:41
16;17:27:31;17:27:31;17:27:32;17:27:32;17:27:48;17:27:48;;;17:27:48;17:27:48;17:27:49;17:27:49;17:29:07;17:29:07;17:29:07;17:29:07;17:29:07;17:29:07;;;17:29:09;17:29:09;;00:00:00;00:00:16;;00:00:00;00:00:01;00:01:18;00:00:00;00:00:00;;00:00:01;00:01:37
17;17:29:09;17:29:09;17:29:09;17:29:09;17:29:26;17:29:26;;;17:29:27;17:29:27;17:29:28;17:29:28;17:30:45;17:30:45;17:30:45;17:30:45;17:30:45;17:30:45;;;17:30:46;17:30:46;;00:00:00;00:00:17;;00:00:00;00:00:01;00:01:17;00:00:00;00:00:00;;00:00:01;00:01:37
18;17:30:46;17:30:46;17:30:46;17:30:46;17:31:04;17:31:04;;;17:31:04;17:31:04;17:31:05;17:31:05;17:32:24;17:32:24;17:32:24;17:32:24;17:32:24;17:32:24;;;17:32:26;17:32:26;;00:00:00;00:00:17;;00:00:00;00:00:01;00:01:19;00:00:00;00:00:00;;00:00:01;00:01:39
19;17:32:26;17:32:26;17:32:26;17:32:26;17:32:43;17:32:43;;;17:32:43;17:32:43;17:32:45;17:32:45;17:34:03;17:34:03;17:34:03;17:34:03;17:34:03;17:34:03;;;17:34:05;17:34:05;;00:00:00;00:00:17;;00:00:00;00:00:01;00:01:18;00:00:00;00:00:00;;00:00:01;00:01:38
20;17:34:05;17:34:05;17:34:05;17:34:05;17:34:23;17:34:23;;;17:34:23;17:34:23;17:34:24;17:34:24;17:35:43;17:35:43;17:35:43;17:35:43;17:35:43;17:35:43;17:35:43;17:35:43;17:35:44;17:35:44;;00:00:00;00:00:18;;00:00:00;00:00:01;00:01:18;00:00:00;00:00:00;00:00:00;00:00:01;00:01:39
21;17:35:44;17:35:44;17:35:44;17:35:44;17:36:02;17:36:02;;;17:36:02;17:36:02;17:36:03;17:36:03;17:37:21;17:37:21;17:37:21;17:37:21;17:37:21;17:37:21;;;17:37:22;17:37:22;;00:00:00;00:00:17;;00:00:00;00:00:01;00:01:17;00:00:00;00:00:00;;00:00:01;00:01:37
22;17:37:22;17:37:22;17:37:22;17:37:22;17:37:39;17:37:39;;;17:37:39;17:37:39;17:37:41;17:37:41;17:38:57;17:38:57;17:38:57;17:38:57;17:38:57;17:38:57;;;17:38:58;17:38:58;;00:00:00;00:00:17;;00:00:00;00:00:01;00:01:16;00:00:00;00:00:00;;00:00:01;00:01:36
23;17:38:58;17:38:58;17:38:58;17:38:58;17:39:16;17:39:16;;;17:39:16;17:39:16;17:39:17;17:39:17;17:40:34;17:40:34;17:40:34;17:40:34;17:40:34;17:40:34;;;17:40:36;17:40:36;;00:00:00;00:00:17;;00:00:00;00:00:01;00:01:17;00:00:00;00:00:00;;00:00:01;00:01:37
24;17:40:36;17:40:36;17:40:36;17:40:36;17:40:53;17:40:53;;;17:40:53;17:40:53;17:40:54;17:40:54;17:42:12;17:42:12;17:42:12;17:42:12;17:42:12;17:42:12;;;17:42:13;17:42:13;;00:00:00;00:00:16;;00:00:00;00:00:01;00:01:17;00:00:00;00:00:00;;00:00:01;00:01:37
25;17:42:13;17:42:13;17:42:13;17:42:13;17:42:30;17:42:30;;;17:42:30;17:42:30;17:42:31;17:42:31;17:43:49;17:43:49;17:43:49;17:43:49;17:43:49;17:43:49;;;17:43:51;17:43:51;;00:00:00;00:00:16;;00:00:00;00:00:01;00:01:17;00:00:00;00:00:00;;00:00:02;00:01:38
26;17:43:51;17:43:51;17:43:51;17:43:51;17:44:08;17:44:08;;;17:44:08;17:44:08;17:44:09;17:44:09;17:45:29;17:45:29;17:45:29;17:45:29;17:45:29;17:45:29;;;17:45:30;17:45:30;;00:00:00;00:00:16;;00:00:00;00:00:01;00:01:19;00:00:00;00:00:00;;00:00:01;00:01:38
27;17:45:30;17:45:30;17:45:30;17:45:30;17:45:47;17:45:47;;;17:45:47;17:45:47;17:45:48;17:45:48;17:47:06;17:47:06;17:47:07;17:47:07;17:47:07;17:47:07;;;17:47:08;17:47:08;;00:00:00;00:00:16;;00:00:00;00:00:01;00:01:18;00:00:00;00:00:00;;00:00:01;00:01:37
28;17:47:08;17:47:08;17:47:08;17:47:08;17:47:26;17:47:26;;;17:47:26;17:47:26;17:47:27;17:47:27;17:48:48;17:48:48;17:48:48;17:48:48;17:48:48;17:48:48;;;17:48:50;17:48:50;;00:00:00;00:00:17;;00:00:00;00:00:01;00:01:21;00:00:00;00:00:00;;00:00:01;00:01:41
29;17:48:50;17:48:50;17:48:50;17:48:50;17:49:07;17:49:07;;;17:49:07;17:49:07;17:49:08;17:49:08;17:50:25;17:50:25;17:50:25;17:50:25;17:50:25;17:50:25;;;17:50:27;17:50:27;;00:00:00;00:00:17;;00:00:00;00:00:01;00:01:17;00:00:00;00:00:00;;00:00:01;00:01:36
30;17:50:27;17:50:27;17:50:27;17:50:27;17:50:44;17:50:44;;;17:50:44;17:50:44;17:50:45;17:50:45;17:52:00;17:52:00;17:52:00;17:52:00;17:52:01;17:52:01;17:52:01;17:52:01;17:52:02;17:52:02;;00:00:00;00:00:17;;00:00:00;00:00:01;00:01:15;00:00:00;00:00:00;00:00:00;00:00:01;00:01:35
31;17:52:02;17:52:02;17:52:02;17:52:02;17:52:20;17:52:20;;;17:52:20;17:52:20;17:52:22;17:52:22;17:53:39;17:53:39;17:53:39;17:53:39;17:53:39;17:53:39;;;17:53:40;17:53:40;;00:00:00;00:00:18;;00:00:00;00:00:01;00:01:17;00:00:00;00:00:00;;00:00:01;00:01:38
32;17:53:40;17:53:40;17:53:40;17:53:40;17:53:58;17:53:58;;;17:53:58;17:53:58;17:53:59;17:53:59;17:55:13;17:55:13;17:55:14;17:55:14;17:55:14;17:55:14;;;17:55:15;17:55:15;;00:00:00;00:00:17;;00:00:00;00:00:01;00:01:14;00:00:00;00:00:00;;00:00:01;00:01:34
33;17:55:15;17:55:15;17:55:15;17:55:15;17:55:32;17:55:32;;;17:55:32;17:55:32;17:55:33;17:55:33;17:56:48;17:56:48;17:56:48;17:56:48;17:56:48;17:56:48;;;17:56:50;17:56:50;;00:00:00;00:00:16;;00:00:00;00:00:01;00:01:14;00:00:00;00:00:00;;00:00:01;00:01:34
34;17:56:50;17:56:50;17:56:50;17:56:50;17:57:05;17:57:05;;;17:57:05;17:57:05;17:57:07;17:57:07;17:58:26;17:58:26;17:58:26;17:58:26;17:58:26;17:58:26;;;17:58:27;17:58:27;;00:00:00;00:00:15;;00:00:00;00:00:01;00:01:19;00:00:00;00:00:00;;00:00:01;00:01:37
35;17:58:28;17:58:28;17:58:28;17:58:28;17:58:43;17:58:43;;;17:58:44;17:58:44;17:58:45;17:58:45;18:00:04;18:00:04;18:00:04;18:00:04;18:00:04;18:00:04;;;18:00:05;18:00:05;;00:00:00;00:00:15;;00:00:00;00:00:01;00:01:18;00:00:00;00:00:00;;00:00:01;00:01:37
36;18:00:05;18:00:05;18:00:05;18:00:05;18:00:22;18:00:22;;;18:00:22;18:00:22;18:00:24;18:00:24;18:01:43;18:01:43;18:01:43;18:01:43;18:01:43;18:01:43;;;18:01:45;18:01:45;;00:00:00;00:00:17;;00:00:00;00:00:01;00:01:19;00:00:00;00:00:00;;00:00:01;00:01:39
37;18:01:45;18:01:45;18:01:45;18:01:45;18:02:02;18:02:02;;;18:02:02;18:02:02;18:02:04;18:02:04;18:03:23;18:03:23;18:03:23;18:03:23;18:03:23;18:03:23;;;18:03:24;18:03:24;;00:00:00;00:00:17;;00:00:00;00:00:01;00:01:19;00:00:00;00:00:00;;00:00:01;00:01:39
38;18:03:24;18:03:24;18:03:24;18:03:24;18:03:42;18:03:42;;;18:03:42;18:03:42;18:03:43;18:03:43;18:05:02;18:05:02;18:05:02;18:05:02;18:05:02;18:05:02;;;18:05:03;18:05:03;;00:00:00;00:00:17;;00:00:00;00:00:01;00:01:18;00:00:00;00:00:00;;00:00:01;00:01:38
39;18:05:03;18:05:03;18:05:03;18:05:03;18:05:21;18:05:21;;;18:05:21;18:05:21;18:05:22;18:05:22;18:06:37;18:06:37;18:06:37;18:06:37;18:06:37;18:06:37;;;18:06:39;18:06:39;;00:00:00;00:00:17;;00:00:00;00:00:01;00:01:15;00:00:00;00:00:00;;00:00:01;00:01:35
40;18:06:39;18:06:39;18:06:39;18:06:39;18:06:56;18:06:56;;;18:06:56;18:06:56;18:06:57;18:06:57;18:08:14;18:08:14;18:08:14;18:08:14;18:08:14;18:08:14;18:08:14;18:08:14;18:08:16;18:08:16;;00:00:00;00:00:17;;00:00:00;00:00:01;00:01:16;00:00:00;00:00:00;00:00:00;00:00:01;00:01:36
41;18:08:16;18:08:16;18:08:16;18:08:16;18:08:33;18:08:33;;;18:08:33;18:08:33;18:08:35;18:08:35;18:09:50;18:09:50;18:09:50;18:09:50;18:09:50;18:09:50;;;18:09:52;18:09:52;;00:00:00;00:00:17;;00:00:00;00:00:01;00:01:15;00:00:00;00:00:00;;00:00:01;00:01:36
42;18:09:52;18:09:52;18:09:52;18:09:52;18:10:08;18:10:08;;;18:10:08;18:10:08;18:10:10;18:10:10;18:11:25;18:11:25;18:11:25;18:11:25;18:11:25;18:11:25;;;18:11:27;18:11:27;;00:00:00;00:00:16;;00:00:00;00:00:01;00:01:15;00:00:00;00:00:00;;00:00:01;00:01:34
43;18:11:27;18:11:27;18:11:27;18:11:27;18:11:43;18:11:43;;;18:11:44;18:11:44;18:11:45;18:11:45;18:13:03;18:13:03;18:13:03;18:13:03;18:13:03;18:13:03;;;18:13:04;18:13:04;;00:00:00;00:00:16;;00:00:00;00:00:01;00:01:17;00:00:00;00:00:00;;00:00:01;00:01:37
44;18:13:04;18:13:04;18:13:04;18:13:04;18:13:22;18:13:22;;;18:13:22;18:13:22;18:13:23;18:13:23;18:14:42;18:14:42;18:14:42;18:14:42;18:14:42;18:14:42;;;18:14:44;18:14:44;;00:00:00;00:00:17;;00:00:00;00:00:01;00:01:19;00:00:00;00:00:00;;00:00:01;00:01:39
45;18:14:44;18:14:44;18:14:44;18:14:44;18:15:01;18:15:01;;;18:15:01;18:15:01;18:15:02;18:15:02;18:16:21;18:16:21;18:16:21;18:16:21;18:16:21;18:16:21;;;18:16:23;18:16:23;;00:00:00;00:00:17;;00:00:00;00:00:01;00:01:18;00:00:00;00:00:00;;00:00:01;00:01:38
46;18:16:23;18:16:23;18:16:23;18:16:23;18:16:40;18:16:40;;;18:16:40;18:16:40;18:16:41;18:16:41;18:17:56;18:17:56;18:17:56;18:17:56;18:17:56;18:17:56;;;18:17:58;18:17:58;;00:00:00;00:00:17;;00:00:00;00:00:01;00:01:14;00:00:00;00:00:00;;00:00:01;00:01:35
47;18:17:58;18:17:58;18:17:58;18:17:58;18:18:14;18:18:14;;;18:18:14;18:18:14;18:18:15;18:18:15;18:19:33;18:19:33;18:19:33;18:19:33;18:19:33;18:19:33;;;18:19:35;18:19:35;;00:00:00;00:00:15;;00:00:00;00:00:01;00:01:17;00:00:00;00:00:00;;00:00:01;00:01:36
