ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;3796.689457368458;9170.368406010299
1;3854.7593943081924;9234.737138605882
2;3876.524642833988;9281.702600213013
3;3882.3469484714005;9308.742279625505
4;3890.2326641687214;9319.055544988865
5;3904.0361170478664;9346.50362782157
6;3902.221348690947;9347.497709339355
7;3907.682572912118;9358.124651300006
8;3901.556087104511;9342.84575678835
9;3905.4282023030423;9358.60645328923
10;3906.2901327742406;9384.977258331683
11;3904.318034249082;9379.133280463357
12;3905.6547310500755;9387.893253075968
13;3904.244312832583;9385.38230970016
14;3907.8467506410025;9380.852578205817
15;3915.181126160888;9394.953485864906
16;3911.150546385179;9382.244536766562
17;3909.2408268712425;9384.82317136923
18;3908.4103051899697;9389.834853558355
19;3899.7817184156393;9384.063302613946
20;3908.6006885050206;9391.788661539515
21;3895.478377319109;9394.40964762495
22;3898.3023650933883;9391.461960274353
23;3900.200488400182;9394.49381407672
24;3909.718094870538;9406.806828482082
25;3902.7438580627545;9394.925266206168
26;3901.0715446706345;9400.870927239313
27;3912.2650125475893;9399.270965703747
28;3901.9778895583204;9388.455221081525
29;3904.0650072046515;9392.18771650666
30;3905.813243645514;9391.03631824757
31;3900.7945469652664;9391.196417521967
32;3897.503904025665;9378.960552931972
33;3899.7931159635345;9390.226370749091
34;3897.990948963443;9383.826451480167
35;3893.492379989708;9380.05679136846
36;3891.3658899772677;9383.764657864976
37;3895.0900966325758;9376.803730959453
38;3895.377567465151;9382.341987038217
39;3892.1062026903587;9376.91510040524
40;3897.097473244717;9379.715738509085
41;3896.2680058297933;9386.349452040906
42;3889.415365361137;9375.675151794623
43;3893.393389258509;9379.76030978522
44;3892.1168229205355;9371.06492853767
45;3896.0955998585923;9380.400184444812
46;3894.9974129751513;9371.70995395513
47;3895.259277968336;9370.834010788205
48;3898.780538527654;9381.29025061557
49;3893.084342822009;9372.055640343693
50;3893.1605632966257;9376.382851321863
51;3890.3465879736455;9370.638650702842
52;3891.590652677764;9363.754894492164
53;3885.2684892113252;9363.980200440092
54;3888.0124641113653;9359.674598004081
55;3888.724636152662;9360.458569595385
56;3884.2009716039147;9366.027930499182
57;3886.682271433068;9368.988116442983
58;3888.47120864366;9354.765011287667
59;3889.7994653249634;9364.018698721451
60;3888.752248944019;9358.198387166614
61;3890.047222702775;9363.099734163608
62;3882.3071461887853;9352.083265051711
63;3883.073182109736;9360.220817491236
64;3880.10081480181;9351.830657941298
65;3878.1356367823046;9353.930419046212
66;3888.0871869068974;9344.199933494576
67;3886.0362687278034;9348.477128750945
68;3887.0115513791507;9353.092189847894
69;3879.460403706143;9343.57867871816
70;3875.5718013304822;9336.607565372717
71;3879.5710633027115;9352.766422249282
72;3875.048683200198;9338.345574837611
73;3877.596284967733;9348.057104111735
74;3878.069915368778;9350.818314543927
75;3873.6677113859823;9346.440527584644
76;3880.1311149984717;9351.91123048478
77;3874.145358158274;9343.505306996003
78;3877.730405222117;9335.298321255137
79;3876.415381204924;9340.086114468806
80;3875.2755375787906;9333.535074315716
81;3866.565452078679;9333.902770890765
82;3875.315123759613;9339.555798101112
83;3873.16322632281;9335.929618542215
84;3877.020689364807;9349.28115223859
85;3875.628251896774;9343.828222551268
86;3876.8513861252786;9346.905088073556
87;3875.921132352446;9344.164266139294
88;3875.018497938352;9340.555138778114
89;3867.1292457052486;9331.790488368873
90;3866.5642016179127;9317.22713781766
91;3872.3391913609607;9335.010669793732
92;3868.9754632521317;9324.543029240345
93;3872.5561031256743;9327.198930114526
94;3867.1036822542374;9336.303315442838
95;3873.1487784491533;9335.695597423082
96;3870.870741953896;9345.223137818595
97;3864.5980225901435;9325.839192088884
98;3865.4841019429246;9328.784201216666
99;3865.883515085734;9331.755613284311
100;3864.6831888125516;9319.143392976706
101;3865.86055015739;9317.050909312786
102;3866.9847570459488;9318.403233052608
103;3869.896049512071;9323.68553915412
104;3859.7294502141713;9314.863468302672
105;3865.1980193114377;9327.01355545343
106;3860.5049080144645;9331.788213364835
107;3860.0712130368984;9328.132354911428
108;3861.959638888867;9327.52470404706
109;3862.0261419348008;9319.645540217205
110;3866.2010383936954;9331.67802897045
111;3866.6176133598424;9321.055015131094
112;3862.1711226751063;9327.878806794872
113;3862.2379827149975;9318.570236057303
114;3862.5920009533875;9319.481958666558
115;3862.7010681761;9313.649936296175
116;3858.522917491075;9319.583161208928
117;3855.7001030352444;9313.571940186359
118;3863.5751356561386;9319.281990437752
119;3861.159209825367;9320.792440160227
120;3868.9388372053268;9326.875678598131
121;3858.0669925391016;9317.613211691818
122;3855.5734440021;9315.967685738005
123;3851.284109571976;9307.849513778147
124;3856.3457686890197;9316.339310102376
125;3850.6616169349;9321.124760565186
126;3855.4294407947036;9303.511385506805
127;3849.117375253549;9308.314811222559
128;3852.8084433944005;9312.669259084967
129;3852.466452117796;9305.742479716493
130;3851.8617894805043;9314.058777894463
131;3850.412247381766;9310.841940632394
132;3856.8844417294913;9314.328519123257
133;3853.5021140952917;9308.500489225904
134;3862.090332232942;9312.168460844296
135;3850.705218808378;9311.333487761987
136;3852.231932540437;9310.227171235334
137;3847.6096307341436;9296.57138142135
138;3848.9815324171336;9300.904320176913
139;3855.621243608953;9309.576454159658
140;3858.154622985177;9302.293129987036
141;3858.0353336188577;9310.990565654593
142;3850.018562611665;9307.049516409714
143;3850.8460337504093;9310.134905653133
144;3854.420583727854;9306.971331194665
145;3850.4848303116;9311.05460704741
146;3855.3075034956723;9309.106742558311
147;3846.436282017736;9312.464739069846
148;3845.889525487558;9303.53815253495
149;3851.64232811401;9304.540910914342
150;3853.520607563992;9314.457138317588
151;3852.6475562051874;9304.701714530316
152;3855.7656736527497;9310.150643389465
153;3851.897030246695;9300.895859044813
154;3854.8076093105906;9310.439874355745
155;3846.2996387288936;9302.239477545956
156;3842.401729868662;9305.978753893796
157;3846.7266891846175;9302.648786923302
158;3841.9451851308027;9297.45959803173
159;3843.0136603397086;9302.790632798415
160;3843.8435306436018;9298.764627938
161;3848.4691988413274;9305.2300331064
162;3846.326109374274;9299.776691082896
163;3846.9026550192107;9306.783102472378
164;3842.839145266652;9305.568364814533
165;3839.3883479669475;9297.794804645679
166;3840.8775840680514;9294.753008117763
167;3848.631736715049;9306.10280730492
