time,used,free
2024-09-04 16:52:43,1904,559
2024-09-04 16:53:43,3578,2437
2024-09-04 16:54:43,4934,1081
2024-09-04 16:55:43,12661,1018
2024-09-04 16:56:43,9029,4730
2024-09-04 16:57:43,8634,13589
2024-09-04 16:58:43,14046,8177
2024-09-04 16:59:43,9078,13145
2024-09-04 17:00:43,15751,6472
2024-09-04 17:01:43,11356,11523
2024-09-04 17:02:43,11146,11733
2024-09-04 17:03:43,17550,5889
2024-09-04 17:04:43,10504,12935
2024-09-04 17:05:43,11044,12395
2024-09-04 17:06:43,13824,9615
2024-09-04 17:07:43,12217,11222
2024-09-04 17:08:43,17007,6432
2024-09-04 17:09:43,20285,3426
2024-09-04 17:10:43,10987,12724
2024-09-04 17:11:43,20061,3650
2024-09-04 17:12:43,17254,6457
2024-09-04 17:13:43,9194,14517
2024-09-04 17:14:43,10072,13639
2024-09-04 17:15:43,15804,7907
2024-09-04 17:16:43,16751,6960
2024-09-04 17:17:43,16105,7606
2024-09-04 17:18:43,12726,10985
2024-09-04 17:19:43,12199,11512
2024-09-04 17:20:43,17853,7138
2024-09-04 17:21:43,16449,8542
2024-09-04 17:22:43,11396,13595
2024-09-04 17:23:43,7912,14807
2024-09-04 17:24:43,12371,10348
2024-09-04 17:25:43,14722,8093
2024-09-04 17:26:43,6787,15516
2024-09-04 17:27:43,16128,6175
2024-09-04 17:28:43,17379,4924
2024-09-04 17:29:43,13551,8752
2024-09-04 17:30:43,21272,2407
2024-09-04 17:31:43,18067,6316
2024-09-04 17:32:43,12135,12248
2024-09-04 17:33:43,12906,11477
2024-09-04 17:34:43,17314,7885
2024-09-04 17:35:43,15341,10546
2024-09-04 17:36:43,14490,11397
2024-09-04 17:37:43,11215,15248
2024-09-04 17:38:43,13528,7911
2024-09-04 17:39:43,14452,6987
2024-09-04 17:40:43,11209,11494
2024-09-04 17:41:43,13546,8469
2024-09-04 17:42:43,9039,12976
2024-09-04 17:43:43,10012,12003
2024-09-04 17:44:43,17501,4514
2024-09-04 17:45:43,14998,7017
2024-09-04 17:46:43,13374,8641
2024-09-04 17:47:43,11526,11177
2024-09-04 17:48:43,17750,4953
2024-09-04 17:49:43,13411,9884
2024-09-04 17:50:43,10024,13271
2024-09-04 17:51:43,14425,8870
2024-09-04 17:52:43,17528,5895
2024-09-04 17:53:43,20681,2742
2024-09-04 17:54:43,10918,11001
2024-09-04 17:55:43,9793,12126
2024-09-04 17:56:43,17675,4244
2024-09-04 17:57:43,10464,11455
2024-09-04 17:58:43,10259,11660
2024-09-04 17:59:43,11725,10194
2024-09-04 18:00:43,14704,7215
2024-09-04 18:01:43,9413,12506
2024-09-04 18:02:43,13651,8268
2024-09-04 18:03:43,17303,5176
2024-09-04 18:04:43,11232,11247
2024-09-04 18:05:43,10289,12190
2024-09-04 18:06:43,12302,10177
2024-09-04 18:07:43,12585,9894
2024-09-04 18:08:43,9496,12983
2024-09-04 18:09:43,9196,13283
2024-09-04 18:10:43,9791,10528
2024-09-04 18:11:43,8912,11407
2024-09-04 18:12:43,15148,11123
2024-09-04 18:13:43,16406,10553
2024-09-04 18:14:43,14503,12456
2024-09-04 18:15:43,9821,17138
2024-09-04 18:16:43,18503,8456
2024-09-04 18:17:43,16529,10430
2024-09-04 18:18:43,13123,14156
2024-09-04 18:19:43,16526,10977
2024-09-04 18:20:43,10241,17262
2024-09-04 18:21:43,15153,12350
2024-09-04 18:22:43,11362,16141
2024-09-04 18:23:43,11513,15990
2024-09-04 18:24:43,21598,5905
2024-09-04 18:25:43,15814,11689
2024-09-04 18:26:43,14277,13226
2024-09-04 18:27:43,11521,15982
2024-09-04 18:28:43,12742,14761
2024-09-04 18:29:43,13055,14448
