Iteration,seconds
0,105
1,94
2,90
3,90
4,93
5,90
6,91
7,93
8,89
9,93
10,92
11,91
12,90
13,90
14,88
15,89
16,90
17,88
18,88
19,88
20,86
21,87
22,84
23,89
24,89
25,87
26,89
27,84
28,89
29,92
30,88
31,92
32,88
33,84
34,87
35,90
36,88
37,86
38,88
39,87
40,89
41,85
42,87
43,87
44,87
45,85
46,90
47,85
48,87
49,88
50,101
51,81
52,85
53,89
54,85
55,87
56,92
57,87
58,87
59,86
60,85
61,87
62,87
63,86
64,89
65,87
66,88
67,87
68,86
69,88
70,88
71,86
72,85
73,83
74,89
75,92
76,88
77,85
78,91
79,86
80,87
81,88
82,86
83,83
84,85
85,85
86,87
87,85
88,86
89,89
90,88
91,86
92,85
93,85
94,87
95,84
96,87
97,85
98,84
99,83
100,138
101,86
102,82
103,81
104,82
105,81
106,81
107,83
108,82
109,86
110,78
111,80
112,84
113,84
114,81
115,83
116,82
117,82
118,80
119,81
120,82
121,79
122,83
123,82
124,82
125,84
126,80
127,85
128,81
129,81
130,86
131,82
132,79
133,84
134,79
135,83
136,81
137,78
138,83
139,80
140,80
141,79
142,77
143,81
144,80
145,84
146,83
147,83
148,85
149,77
150,99
151,76
152,83
153,80
154,80
155,80
156,78
157,76
158,77
159,78
160,81
161,75
162,83
163,79
164,83
165,81
166,78
167,78
168,81
169,80
170,78
171,76
172,81
173,77
174,78
175,77
176,76
177,76
178,81
179,79
180,79
181,79
182,78
183,76
184,75
185,79
186,80
187,77
188,76
189,81
190,79
191,80
192,79
193,76
194,76
195,76
196,77
197,78
198,80
199,77
200,133
201,76
202,77
203,79
204,74
205,79
206,78
207,77
208,79
209,76
210,78
211,76
212,71
213,79
214,79
215,81
216,75
217,80
218,78
219,74
220,77
221,75
222,76
223,75
224,79
225,75
226,76
227,78
228,80
229,81
230,77
231,77
232,79
233,77
234,75
235,75
236,76
237,75
238,74
239,78
240,72
241,76
242,77
243,81
244,76
245,79
246,79
247,78
248,77
249,77
250,92
251,74
252,74
253,76
254,75
255,73
256,74
257,70
258,71
259,78
260,79
261,76
262,77
263,78
264,76
265,75
266,70
267,77
268,74
269,75
270,77
271,75
272,78
273,75
274,73
275,73
276,74
277,73
278,75
279,74
280,77
281,72
282,68
283,72
284,74
285,74
286,72
287,73
288,71
289,74
290,72
291,73
292,73
293,69
294,75
295,77
296,71
297,74
298,74
299,74
300,133
301,74
302,73
303,73
304,78
305,70
306,73
307,72
308,73
309,75
310,73
311,71
312,74
313,70
314,78
315,71
316,71
317,72
318,72
319,67
320,72
321,72
322,71
323,74
324,73
325,67
326,73
327,71
328,74
329,72
330,70
331,73
332,74
333,72
334,71
335,72
336,69
337,72
338,71
339,70
340,72
341,72
342,70
343,72
344,73
345,72
346,67
347,70
348,72
349,70
350,88
351,73
352,71
353,68
354,69
355,73
356,71
357,72
358,69
359,76
360,73
361,66
362,72
363,66
364,73
365,65
366,71
367,72
368,71
369,71
370,66
371,69
372,67
373,70
374,72
375,70
376,66
377,70
378,71
379,66
380,70
381,68
382,68
383,71
384,72
385,66
386,67
387,67
388,69
389,71
390,71
391,72
392,68
393,69
394,65
395,70
396,65
397,69
398,71
399,71
400,128
401,68
402,68
403,67
404,70
405,70
406,68
407,68
408,69
409,69
410,62
411,68
412,65
413,68
414,68
415,66
416,66
417,70
418,69
419,67
420,67
421,69
422,66
423,70
424,66
425,68
426,68
427,70
428,68
429,69
430,65
431,67
432,66
433,69
434,69
435,64
436,69
437,72
438,65
439,71
440,66
441,69
442,67
443,69
444,69
445,67
446,69
447,67
448,69
449,69
450,83
451,67
452,63
453,62
454,57
455,64
456,64
457,62
458,61
459,64
460,61
461,63
462,62
463,63
464,64
465,64
466,64
467,60
468,62
469,61
470,62
471,64
472,65
473,65
474,63
475,63
476,64
477,63
478,66
479,63
480,64
481,64
482,60
483,61
484,57
485,68
486,66
487,58
488,62
489,64
490,66
491,64
492,61
493,65
494,60
495,65
496,61
497,62
498,66
499,70
500,123
