dist_group,main_mode,share
0 - 1000,bike,0.01585214007782101
0 - 1000,car,0.003035019455252918
0 - 1000,pt,0.00775875486381323
0 - 1000,ride,0.0026926070038910507
0 - 1000,walk,0.26787548638132297
1000 - 2000,bike,0.0592295719844358
1000 - 2000,car,0.005571984435797666
1000 - 2000,pt,0.03319066147859922
1000 - 2000,ride,0.011175097276264591
1000 - 2000,walk,0.03315175097276265
2000 - 5000,bike,0.09076264591439688
2000 - 5000,car,0.01159533073929961
2000 - 5000,pt,0.07390661478599221
2000 - 5000,ride,0.031642023346303505
2000 - 5000,walk,0.001470817120622568
5000 - 10000,bike,0.038560311284046696
5000 - 10000,car,0.012529182879377432
5000 - 10000,pt,0.08755642023346304
5000 - 10000,ride,0.039680933852140075
5000 - 10000,walk,2.9571984435797666E-4
10000 - 20000,bike,0.004233463035019455
10000 - 20000,car,0.010459143968871595
10000 - 20000,pt,0.09403891050583657
10000 - 20000,ride,0.021027237354085602
10000 - 20000,walk,1.867704280155642E-4
20000+,bike,7.003891050583658E-5
20000+,car,0.005875486381322957
20000+,pt,0.032
20000+,ride,0.004505836575875486
20000+,walk,7.003891050583658E-5
