age,dist_group,main_mode,ref_share,sim_share
0 - 12,0 - 1000,bike,0.08835438432558192,0.01865110934323345
0 - 12,0 - 1000,car,3.432121636877184E-5,
0 - 12,0 - 1000,pt,0.0021749863020563654,0.004066118624591179
0 - 12,0 - 1000,ride,0.02105120038281801,0.0016794837797224436
0 - 12,0 - 1000,walk,0.34321425046957743,0.444886413860161
0 - 12,1000 - 2000,bike,0.08398330004325193,0.11694510739856803
0 - 12,1000 - 2000,car,1.5021968781156898E-4,
0 - 12,1000 - 2000,pt,0.023069594332849337,0.02342437903297092
0 - 12,1000 - 2000,ride,0.05686810841448047,0.019358260408379742
0 - 12,1000 - 2000,walk,0.07347412145528517,0.054892601431980916
0 - 12,2000 - 5000,bike,0.04222757075895273,0.10828250685052597
0 - 12,2000 - 5000,car,6.53604831771567E-5,5.30363298859719E-4
0 - 12,2000 - 5000,pt,0.053969780176005705,0.045169274286219405
0 - 12,2000 - 5000,ride,0.08856585531656834,0.0386281269336162
0 - 12,2000 - 5000,walk,0.00840865282592746,0.001237514364006011
0 - 12,5000 - 10000,bike,0.003894711632678419,0.02351277291611421
0 - 12,5000 - 10000,car,5.59984143655361E-5,
0 - 12,5000 - 10000,pt,0.027944778352320458,0.03429682665959516
0 - 12,5000 - 10000,ride,0.04558406298643193,0.028816405904711396
0 - 12,5000 - 10000,walk,9.301529133672707E-4,8.839388314328648E-5
0 - 12,10000 - 20000,bike,7.862395528391246E-5,0.0014143021302925837
0 - 12,10000 - 20000,car,0.0,
0 - 12,10000 - 20000,pt,0.007770578530816593,0.020065411473526033
0 - 12,10000 - 20000,ride,0.01909416912224764,0.007248298417749492
0 - 12,10000 - 20000,walk,4.1902291661824963E-4,
0 - 12,20000+,bike,3.432121636877184E-5,
0 - 12,20000+,car,0.0,
0 - 12,20000+,pt,0.003135854720564564,0.005392026871740476
0 - 12,20000+,ride,0.005136005853612949,0.0013259082471492973
0 - 12,20000+,walk,3.100131946112742E-4,8.839388314328648E-5
12 - 18,0 - 1000,bike,0.04056261263021196,0.015107415107415109
12 - 18,0 - 1000,car,0.0,
12 - 18,0 - 1000,pt,0.005488585805699482,0.005544005544005545
12 - 18,0 - 1000,ride,0.0022302160066904097,0.002494802494802495
