dist_group,main_mode,share
0 - 1000,bike,0.0533357771260997
0 - 1000,car,0.01021156263091747
0 - 1000,pt,0.026104943443653123
0 - 1000,ride,0.009059488898198576
0 - 1000,walk,0.9012882279011312
1000 - 2000,bike,0.41617454068241466
1000 - 2000,car,0.03915135608048993
1000 - 2000,pt,0.23321303587051614
1000 - 2000,ride,0.07852143482064741
1000 - 2000,walk,0.23293963254593175
2000 - 5000,bike,0.4334881992194759
2000 - 5000,car,0.05538004088459394
2000 - 5000,pt,0.3529827169671065
2000 - 5000,ride,0.1511243263333953
2000 - 5000,walk,0.007024716595428359
5000 - 10000,bike,0.21587592035899447
5000 - 10000,car,0.07014333638304361
5000 - 10000,pt,0.490175576177406
5000 - 10000,ride,0.22214961007275735
5000 - 10000,walk,0.0016555570077985448
10000 - 20000,bike,0.03257875194634088
10000 - 20000,car,0.0804886812791951
10000 - 20000,pt,0.7236794825727632
10000 - 20000,ride,0.16181578632171517
10000 - 20000,walk,0.001437297879985627
20000+,bike,0.0016471449487554905
20000+,car,0.13817715959004392
20000+,pt,0.752562225475842
20000+,ride,0.10596632503660322
20000+,walk,0.0016471449487554905
