economic_status,dist_group,main_mode,ref_share,sim_share
very_low,0 - 1000,bike,0.034706812382496253,0.017085290313797564
very_low,0 - 1000,car,0.006645660141317321,0.002722755428493636
very_low,0 - 1000,pt,0.007608696709232571,0.008440541828330272
very_low,0 - 1000,ride,0.0031247285929428773,0.002995030971342999
very_low,0 - 1000,walk,0.24469895082287615,0.27601933156354236
very_low,1000 - 2000,bike,0.0456812466540538,0.07262950105506773
very_low,1000 - 2000,car,0.017622644055559893,0.0045606153427268405
very_low,1000 - 2000,pt,0.03176643067456601,0.03519161391328025
very_low,1000 - 2000,ride,0.009316330422067991,0.009938057314001771
very_low,1000 - 2000,walk,0.06872298007466464,0.03982029814171942
very_low,2000 - 5000,bike,0.05089981625669508,0.10108229528282624
very_low,2000 - 5000,car,0.0337496023448924,0.008917024028316657
very_low,2000 - 5000,pt,0.09486902097108739,0.07616908311210947
very_low,2000 - 5000,ride,0.015788943796908508,0.028997345313457223
very_low,2000 - 5000,walk,0.01757073462748898,0.0017697910285208633
very_low,5000 - 10000,bike,0.022753526491476054,0.04240691579878837
very_low,5000 - 10000,car,0.0277238506627543,0.009938057314001771
very_low,5000 - 10000,pt,0.10839849171594337,0.08712817371179635
very_low,5000 - 10000,ride,0.012009036032519247,0.03641685385610238
very_low,5000 - 10000,walk,0.0015394033588941114,2.042066571370227E-4
very_low,10000 - 20000,bike,0.004407524031423659,0.004288339799877476
very_low,10000 - 20000,car,0.019387817923563564,0.007895990742631545
very_low,10000 - 20000,pt,0.07342424019150331,0.08331631611190526
very_low,10000 - 20000,ride,0.004587556923703757,0.015043223742427338
very_low,10000 - 20000,walk,0.0012091257366962421,2.7227554284936354E-4
very_low,20000+,bike,4.1095332498232E-4,6.806888571234089E-5
very_low,20000+,car,0.009550733296281533,0.002995030971342999
very_low,20000+,pt,0.027400397002285908,0.020148390170852903
very_low,20000+,ride,0.004042413867625509,0.0035395820570417267
very_low,20000+,walk,3.823309134972519E-4,
low,0 - 1000,bike,0.041246470043080165,0.013231268376761633
low,0 - 1000,car,0.008910466432937744,0.0028895873466490917
low,0 - 1000,pt,0.004293903536684401,0.00836459495082632
low,0 - 1000,ride,0.0033071684223682056,0.002281253168407178
low,0 - 1000,walk,0.24947973724879838,0.2884010950015208
