employment,dist_group,main_mode,ref_share,sim_share
child,0 - 1000,bike,0.08797447704562546,0.020360480640854467
child,0 - 1000,car,6.201632379149975E-5,
child,0 - 1000,pt,0.0024803584947749157,0.005340453938584778
child,0 - 1000,ride,0.02249149064801905,0.0018357810413885175
child,0 - 1000,walk,0.3449712729704775,0.43591455273698254
child,1000 - 2000,bike,0.07427123298204033,0.1169893190921228
child,1000 - 2000,car,8.634641491562535E-5,
child,1000 - 2000,pt,0.02474873405947267,0.025700934579439248
child,1000 - 2000,ride,0.059203137402890356,0.02052736982643524
child,1000 - 2000,walk,0.08264286445303025,0.06258344459279037
child,2000 - 5000,bike,0.04011331323664293,0.10764352469959944
child,2000 - 5000,car,0.0,
child,2000 - 5000,pt,0.047887910802740935,0.0487316421895861
child,2000 - 5000,ride,0.08746818283628317,0.03738317757009345
child,2000 - 5000,walk,0.01079786692437333,0.0016688918558077433
child,5000 - 10000,bike,0.004805099180886955,0.02202937249666221
child,5000 - 10000,car,0.0,
child,5000 - 10000,pt,0.024833659725415513,0.03487983978638183
child,5000 - 10000,ride,0.043671849086048695,0.025534045393858472
child,5000 - 10000,walk,0.0012955063068117057,
child,10000 - 20000,bike,0.0,0.0016688918558077433
child,10000 - 20000,car,0.0,
child,10000 - 20000,pt,0.006359525422654799,0.016355140186915883
child,10000 - 20000,ride,0.022509064689085728,0.007176234979973296
child,10000 - 20000,walk,5.490547723028882E-4,
child,20000+,bike,0.0,
child,20000+,car,0.0,
child,20000+,pt,0.0036923972295443753,0.006174899866488649
child,20000+,ride,0.006852048186314849,0.0013351134846461945
child,20000+,walk,2.3259080585655165E-4,1.668891855807743E-4
homemaker,0 - 1000,bike,0.033151806966215495,0.011280039234919078
homemaker,0 - 1000,car,0.017096887825047154,0.0014713094654242277
homemaker,0 - 1000,pt,0.00741600650756041,0.009318293281020108
homemaker,0 - 1000,ride,0.003227524589354174,0.0034330554193231977
homemaker,0 - 1000,walk,0.2885201729519205,0.3079941147621383
homemaker,1000 - 2000,bike,0.059202386584587534,0.061304561059342816
homemaker,1000 - 2000,car,0.04025033806294192,0.007356547327121138
homemaker,1000 - 2000,pt,0.0273866228320414,0.04413928396272683
homemaker,1000 - 2000,ride,0.006330981798157926,0.011770475723393821
homemaker,1000 - 2000,walk,0.07860929727267789,0.05198626777832271
homemaker,2000 - 5000,bike,0.04046916174769916,0.09171162334477685
homemaker,2000 - 5000,car,0.09370896621243806,0.018636586562040217
homemaker,2000 - 5000,pt,0.06043872284166353,0.1049534085335949
homemaker,2000 - 5000,ride,0.01865689653854778,0.02501226091221187
homemaker,2000 - 5000,walk,0.022329877577321945,0.0019617459538989698
homemaker,5000 - 10000,bike,0.01007054931926354,0.03433055419323198
homemaker,5000 - 10000,car,0.0517419983300954,0.013241785188818049
homemaker,5000 - 10000,pt,0.03961389187595275,0.07356547327121138
homemaker,5000 - 10000,ride,0.010868096212678242,0.019617459538989704
homemaker,5000 - 10000,walk,0.001119555974530009,
homemaker,10000 - 20000,bike,0.0013630691808948023,0.005885237861696911
homemaker,10000 - 20000,car,0.03297441162678622,0.006866110838646395
homemaker,10000 - 20000,pt,0.02062081117537517,0.06326630701324178
