income,dist_group,main_mode,ref_share,sim_share
0 - 500,0 - 1000,bike,0.03669177865113303,0.008807985907222546
0 - 500,0 - 1000,car,0.00738398850586487,0.006459189665296534
0 - 500,0 - 1000,pt,0.007978210296398438,0.016441573693482085
0 - 500,0 - 1000,ride,0.0011450141882909117,0.0035231943628890186
0 - 500,0 - 1000,walk,0.21475506048990617,0.27715795654726944
0 - 500,1000 - 2000,bike,0.05686516881650415,0.06928948913681736
0 - 500,1000 - 2000,car,0.014437527855602178,0.004697592483852024
0 - 500,1000 - 2000,pt,0.0390932425009502,0.036993540810334694
0 - 500,1000 - 2000,ride,8.025942354514118E-4,0.006459189665296534
0 - 500,1000 - 2000,walk,0.0520912286100064,0.03464474456840868
0 - 500,2000 - 5000,bike,0.061478178043115554,0.06400469759248384
0 - 500,2000 - 5000,car,0.01709259019057143,0.012331180270111564
0 - 500,2000 - 5000,pt,0.10179655836178256,0.08631826189078096
0 - 500,2000 - 5000,ride,0.005808192545811038,0.02113916617733411
0 - 500,2000 - 5000,walk,0.004899508326691209,5.87199060481503E-4
0 - 500,5000 - 10000,bike,0.03557171175235263,0.0387551379917792
0 - 500,5000 - 10000,car,0.007644922733794155,0.014092777451556075
0 - 500,5000 - 10000,pt,0.12150867967192143,0.11920140927774511
0 - 500,5000 - 10000,ride,0.011819540955771745,0.041691133294186715
0 - 500,5000 - 10000,walk,0.0,
0 - 500,10000 - 20000,bike,0.0,0.001174398120963006
0 - 500,10000 - 20000,car,0.011056434745182113,0.004697592483852024
0 - 500,10000 - 20000,pt,0.10618540699650501,0.095713446858485
0 - 500,10000 - 20000,ride,0.008832868383971678,0.011743981209630062
0 - 500,10000 - 20000,walk,0.0053587149815805465,
0 - 500,20000+,bike,0.0,
0 - 500,20000+,car,0.020473617216577353,0.002348796241926012
0 - 500,20000+,pt,0.036936597273339124,0.01702877275396359
0 - 500,20000+,ride,0.012292663670924705,0.004697592483852024
0 - 500,20000+,walk,0.0,
500 - 900,0 - 1000,bike,0.03285633040326468,0.020912547528517112
500 - 900,0 - 1000,car,0.005654343128338346,0.0035910435149978876
500 - 900,0 - 1000,pt,0.013455806601091205,0.008238276299112801
500 - 900,0 - 1000,ride,0.0014720430155450261,0.004647232784114914
