purpose,h,arrival,departure
dining,6,0.0,1.556420233463035E-5
dining,7,4.669260700389105E-5,4.669260700389105E-5
dining,8,1.0116731517509727E-4,2.0233463035019454E-4
dining,9,4.280155642023346E-4,4.5914396887159533E-4
dining,10,7.392996108949416E-4,8.560311284046692E-4
dining,11,0.0029182879377431907,0.0033696498054474706
dining,12,0.006132295719844358,0.006272373540856031
dining,13,0.003782101167315175,0.00333852140077821
dining,14,0.0018443579766536965,0.0017120622568093384
dining,15,0.0016342412451361868,0.0018287937743190661
dining,16,0.0022879377431906617,0.0026536964980544745
dining,17,0.0035719844357976656,0.0035875486381322956
dining,18,0.0034863813229571985,0.0031828793774319065
dining,19,0.002038910505836576,0.001821011673151751
dining,20,0.0012140077821011673,0.0010583657587548638
dining,21,5.525291828793774E-4,4.046692607003891E-4
dining,22,2.568093385214008E-4,2.3346303501945524E-4
dining,23,2.3346303501945526E-5,1.556420233463035E-5
dining,24,3.11284046692607E-5,3.11284046692607E-5
dining,30,0.0,7.782101167315174E-6
dining,32,7.782101167315174E-6,0.0
edu_higher,4,0.0,7.782101167315174E-6
edu_higher,5,7.782101167315174E-6,0.0
edu_higher,6,5.447470817120623E-5,4.4357976653696497E-4
edu_higher,7,0.0011750972762645914,0.002529182879377432
edu_higher,8,0.002840466926070039,0.002124513618677043
edu_higher,9,0.0022334630350194554,0.0024669260700389104
edu_higher,10,0.002085603112840467,0.0011750972762645914
edu_higher,11,9.883268482490273E-4,0.0010583657587548638
edu_higher,12,8.949416342412451E-4,6.614785992217899E-4
edu_higher,13,8.560311284046692E-4,9.649805447470817E-4
edu_higher,14,6.770428015564202E-4,4.5914396887159533E-4
edu_higher,15,1.6342412451361867E-4,1.245136186770428E-4
edu_higher,16,2.4124513618677042E-4,2.9571984435797666E-4
edu_higher,17,1.556420233463035E-4,1.0116731517509727E-4
edu_higher,18,5.447470817120623E-5,2.3346303501945526E-5
edu_higher,19,1.556420233463035E-5,1.556420233463035E-5
edu_higher,20,2.3346303501945526E-5,1.556420233463035E-5
