quality,road_type,n,share
major under,trunk_link,1.0,1.0
major under,trunk,10.0,0.9090909090909091
major under,tertiary,15.0,0.8823529411764706
major under,motorway_link,51.0,0.504950495049505
major under,motorway,57.0,0.6951219512195121
major under,primary,101.0,0.9099099099099099
major under,secondary,115.0,0.8333333333333334
under,primary,5.0,0.04504504504504504
under,secondary,12.0,0.08695652173913043
under,motorway,16.0,0.1951219512195122
under,motorway_link,16.0,0.15841584158415842
ok,trunk,1.0,0.09090909090909091
ok,motorway,3.0,0.036585365853658534
ok,primary,3.0,0.02702702702702703
ok,secondary,5.0,0.036231884057971016
ok,motorway_link,21.0,0.2079207920792079
over,motorway,1.0,0.012195121951219513
over,primary,1.0,0.009009009009009009
over,secondary,1.0,0.007246376811594203
over,motorway_link,2.0,0.019801980198019802
major over,primary,1.0,0.009009009009009009
major over,tertiary,2.0,0.11764705882352941
major over,motorway,5.0,0.06097560975609756
major over,secondary,5.0,0.036231884057971016
major over,motorway_link,11.0,0.10891089108910891
