hour,mean_rel_error,mean_abs_error,mean_bias
23,115.3580850758569,235.9175800160707,-107.51945496282318
22,96.84431149464119,296.20930407249267,-179.63073406441973
21,95.11747018625793,345.79645350729203,-188.0821199454919
20,85.46067618396911,404.4363048052965,-275.7161829143384
19,77.44759498656217,513.0332194110716,-411.91253150291305
18,78.7168353871139,693.4660560105069,-598.0664619188051
17,75.79615122596694,740.585117563084,-690.3239433102023
16,77.61247328444378,797.7421994872693,-750.4526506538823
15,76.01714936742815,834.8322570598876,-793.5899785576966
14,79.89231567281465,872.1478611044573,-849.0414784849485
13,81.54889732382966,807.5472299938938,-777.0883144930541
12,78.92632131879228,726.8765854516423,-684.11721098471
11,79.38654208255434,719.1028746088139,-671.0131855740703
10,78.96921114496739,685.6380391012656,-635.8955643281976
9,79.74622548464592,710.8326982524652,-634.8238743047536
8,79.09801028603316,730.1246383310379,-602.3230901030798
7,78.70870214972285,689.6082524687283,-576.1404339127416
6,83.58537210463687,653.5644407851045,-557.2568731410171
5,88.80562228851706,445.3150730220034,-411.62332353294596
4,96.48582909785002,163.8277820479575,-147.56485540624863
3,100.61552045298635,89.88828238245434,-83.03519023726271
2,102.91172154784891,81.0939606392216,-78.00085789220451
1,100.33279635647887,97.46644662432496,-94.59011973848327
0,99.55953896696882,155.84145616630903,-155.3706783189313
