hour,mean_rel_error,mean_abs_error,mean_bias
23,322.0514492450347,43.593280218406505,32.161844498752025
22,332.71618932549495,58.15914968748655,47.79917674069741
21,409.39126870799333,76.03151447553775,66.50150877700126
20,401.3785434777751,87.09465181825887,73.61454702275434
19,398.02568273653134,100.70232778113247,82.28119760802767
18,351.4713454994388,111.94156925534764,95.65678335932833
17,381.47842604329577,131.8620768090816,111.37832118852712
16,333.549565027944,132.22489329002977,105.52503662516074
15,256.5599413014996,111.90702337237383,88.65492904341174
14,264.6553419425826,113.28856179993946,81.76061212541285
13,262.63308474431966,122.12421851190805,91.98161394862069
12,237.83361177689207,122.7900888041216,93.40004552263883
11,244.2362537784489,109.82678935934122,77.2231870729546
10,238.54805925060282,120.56215181587359,88.55030535979604
9,250.43838449230185,122.0313535816426,81.30410415281658
8,272.71598713014595,138.39173046752617,106.13963180738699
7,283.7511944365998,144.30094680369214,117.38839148883488
6,262.2817047016249,108.91566700097394,67.12976386234769
5,234.78829819425874,53.682925253036515,29.80744365695344
4,281.8262136712028,41.67321563323085,19.51045173259734
3,253.57711850206874,32.101822172966784,16.708800205915296
2,227.21649809151066,24.36630597091174,13.004489474663206
1,191.15338201967452,18.65207451859812,5.308218980403278
0,176.81745778639953,18.6386804584742,2.556914814300445
