Road Type,Congestion Index,Total lane km,Cap. Utilization,Avg. Speed [km/h]
all,0.76,28642.525,0.039,36.064
living_street,0.815,908.963,0.002,8.169
motorway,0.787,1947.034,0.135,91.053
motorway_link,0.75,312.998,0.059,56.119
primary,0.682,1598.932,0.104,42.285
primary_link,0.663,12.643,0.052,33.321
residential,0.774,15448.164,0.012,26.395
secondary,0.71,3925.358,0.077,41.62
secondary_link,0.627,13.334,0.046,42.142
tertiary,0.759,2542.704,0.047,39.68
trunk,0.755,411.253,0.11,78.906
trunk_link,0.755,66.008,0.04,41.063
unclassified,0.774,1455.133,0.013,37.746
