it;globalInnovationRate_person;ChangeExpBeta_person;ReRoute_person;TimeAllocationMutator_person;SubtourModeChoice_person
0;0.4500;0.5500;0.1500;0.1500;0.1500
1;0.4077;0.5923;0.1359;0.1359;0.1359
2;0.4073;0.5927;0.1358;0.1358;0.1358
3;0.4069;0.5931;0.1356;0.1356;0.1356
4;0.4065;0.5935;0.1355;0.1355;0.1355
5;0.4061;0.5939;0.1354;0.1354;0.1354
6;0.4057;0.5943;0.1352;0.1352;0.1352
7;0.4053;0.5947;0.1351;0.1351;0.1351
8;0.4049;0.5951;0.1350;0.1350;0.1350
9;0.4045;0.5955;0.1348;0.1348;0.1348
10;0.4041;0.5959;0.1347;0.1347;0.1347
11;0.4037;0.5963;0.1346;0.1346;0.1346
12;0.4033;0.5967;0.1344;0.1344;0.1344
13;0.4028;0.5972;0.1343;0.1343;0.1343
14;0.4024;0.5976;0.1341;0.1341;0.1341
15;0.4020;0.5980;0.1340;0.1340;0.1340
16;0.4016;0.5984;0.1339;0.1339;0.1339
17;0.4011;0.5989;0.1337;0.1337;0.1337
18;0.4007;0.5993;0.1336;0.1336;0.1336
19;0.4003;0.5997;0.1334;0.1334;0.1334
20;0.3998;0.6002;0.1333;0.1333;0.1333
21;0.3994;0.6006;0.1331;0.1331;0.1331
22;0.3989;0.6011;0.1330;0.1330;0.1330
23;0.3985;0.6015;0.1328;0.1328;0.1328
24;0.3980;0.6020;0.1327;0.1327;0.1327
25;0.3976;0.6024;0.1325;0.1325;0.1325
26;0.3971;0.6029;0.1324;0.1324;0.1324
27;0.3966;0.6034;0.1322;0.1322;0.1322
28;0.3961;0.6039;0.1320;0.1320;0.1320
29;0.3957;0.6043;0.1319;0.1319;0.1319
30;0.3952;0.6048;0.1317;0.1317;0.1317
31;0.3947;0.6053;0.1316;0.1316;0.1316
32;0.3942;0.6058;0.1314;0.1314;0.1314
33;0.3937;0.6063;0.1312;0.1312;0.1312
34;0.3932;0.6068;0.1311;0.1311;0.1311
35;0.3928;0.6072;0.1309;0.1309;0.1309
36;0.3923;0.6077;0.1308;0.1308;0.1308
37;0.3917;0.6083;0.1306;0.1306;0.1306
38;0.3912;0.6088;0.1304;0.1304;0.1304
39;0.3907;0.6093;0.1302;0.1302;0.1302
40;0.3902;0.6098;0.1301;0.1301;0.1301
41;0.3897;0.6103;0.1299;0.1299;0.1299
42;0.3892;0.6108;0.1297;0.1297;0.1297
43;0.3886;0.6114;0.1295;0.1295;0.1295
44;0.3881;0.6119;0.1294;0.1294;0.1294
45;0.3876;0.6124;0.1292;0.1292;0.1292
46;0.3870;0.6130;0.1290;0.1290;0.1290
47;0.3865;0.6135;0.1288;0.1288;0.1288
48;0.3860;0.6140;0.1287;0.1287;0.1287
49;0.3854;0.6146;0.1285;0.1285;0.1285
50;0.3849;0.6151;0.1283;0.1283;0.1283
51;0.3843;0.6157;0.1281;0.1281;0.1281
52;0.3837;0.6163;0.1279;0.1279;0.1279
53;0.3832;0.6168;0.1277;0.1277;0.1277
54;0.3826;0.6174;0.1275;0.1275;0.1275
55;0.3820;0.6180;0.1273;0.1273;0.1273
56;0.3815;0.6185;0.1272;0.1272;0.1272
57;0.3809;0.6191;0.1270;0.1270;0.1270
58;0.3803;0.6197;0.1268;0.1268;0.1268
59;0.3797;0.6203;0.1266;0.1266;0.1266
60;0.3791;0.6209;0.1264;0.1264;0.1264
61;0.3785;0.6215;0.1262;0.1262;0.1262
62;0.3779;0.6221;0.1260;0.1260;0.1260
63;0.3773;0.6227;0.1258;0.1258;0.1258
64;0.3767;0.6233;0.1256;0.1256;0.1256
65;0.3761;0.6239;0.1254;0.1254;0.1254
66;0.3755;0.6245;0.1252;0.1252;0.1252
67;0.3748;0.6252;0.1249;0.1249;0.1249
68;0.3742;0.6258;0.1247;0.1247;0.1247
69;0.3736;0.6264;0.1245;0.1245;0.1245
70;0.3730;0.6270;0.1243;0.1243;0.1243
71;0.3723;0.6277;0.1241;0.1241;0.1241
72;0.3717;0.6283;0.1239;0.1239;0.1239
73;0.3710;0.6290;0.1237;0.1237;0.1237
