Iteration;bike_travel;bike_wait;car_travel;car_wait;freight_travel;freight_wait;pt_travel;pt_wait;ride_travel;ride_wait;stageActivity_travel;stageActivity_wait;walk_travel;walk_wait
0;8476;0;65259;0;9499;0;12568;2317;1942;0;0;0;20786;0
1;9280;0;62342;0;9276;0;12021;2996;2772;0;0;0;27132;0
2;9601;0;59798;0;8944;0;11923;3373;3190;0;0;0;30252;0
3;9832;0;59088;0;8662;0;11763;3502;3506;0;0;0;31773;0
4;10133;0;55929;0;8452;0;11832;3605;3742;0;0;0;33046;0
5;10333;0;58860;0;8457;0;11774;3603;3973;0;0;0;34270;0
6;10562;0;55626;0;8253;0;11784;3609;4163;0;0;0;34782;0
7;10662;0;52448;0;8023;0;11765;3649;4255;0;0;0;35801;0
8;10889;0;50762;0;7993;0;11704;3623;4357;0;0;0;36111;0
9;10812;0;49546;0;7958;0;11754;3739;4547;0;0;0;36390;0
10;10825;0;49701;0;7920;0;11928;3739;4529;0;0;0;35735;0
11;10856;0;48637;0;7947;0;11926;3720;4606;0;0;0;35505;0
12;11058;0;45158;0;7797;0;11959;3700;4732;0;0;0;34993;0
13;10882;0;43734;0;7693;0;12095;3752;4772;0;0;0;34480;0
14;11295;0;43590;0;7697;0;12046;3686;4795;0;0;0;34970;0
15;11280;0;42931;0;7771;0;12245;3768;4768;0;0;0;34262;0
16;11167;0;41979;0;7776;0;12312;3774;4755;0;0;0;34457;0
17;11271;0;40244;0;7686;0;12472;3737;4782;0;0;0;33542;0
18;11201;0;39254;0;7689;0;12443;3685;4805;0;0;0;33235;0
19;11387;0;38913;0;7606;0;12456;3678;4843;0;0;0;32917;0
20;11356;0;38243;0;7596;0;12536;3746;4850;0;0;0;31924;0
21;11189;0;37830;0;7555;0;12631;3686;4859;0;0;0;31904;0
22;11341;0;36527;0;7577;0;12850;3661;4891;0;0;0;31577;0
23;11461;0;35311;0;7493;0;12703;3534;4904;0;0;0;31938;0
24;11756;0;35805;0;7495;0;12789;3658;4840;0;0;0;31373;0
25;11468;0;34424;0;7566;0;12945;3749;4845;0;0;0;30754;0
26;11704;0;33054;0;7402;0;12930;3717;4950;0;0;0;30896;0
27;11709;0;34146;0;7577;0;12997;3647;4877;0;0;0;30695;0
28;11647;0;33397;0;7561;0;12998;3633;4943;0;0;0;30820;0
29;11613;0;32582;0;7525;0;13145;3621;4817;0;0;0;30439;0
30;11642;0;31893;0;7540;0;13150;3645;4850;0;0;0;30439;0
31;11586;0;32405;0;7481;0;13263;3685;4774;0;0;0;29764;0
32;11440;0;31331;0;7378;0;13220;3575;4872;0;0;0;30179;0
33;11480;0;30785;0;7356;0;13375;3725;4798;0;0;0;29964;0
34;11414;0;31089;0;7388;0;13367;3645;4772;0;0;0;29935;0
35;11534;0;30370;0;7313;0;13533;3652;4808;0;0;0;29787;0
36;11575;0;29782;0;7417;0;13502;3794;4828;0;0;0;30157;0
37;11799;0;29658;0;7301;0;13454;3732;4812;0;0;0;29333;0
38;11730;0;29094;0;7186;0;13575;3696;4768;0;0;0;29790;0
