iteration;avg_executed;avg_worst;avg_average;avg_best
0;-243.95187109088832;-243.95187109088832;-243.95187109088832;-243.95187109088832
1;-221.27109370264105;-239.08322360334012;-229.81833731601628;-220.55345102869256
2;-188.42461717039333;-228.83230520135442;-207.56279009989495;-187.10311737913793
3;-159.81839518825262;-218.58741096043266;-186.58083103409533;-157.30091279994267
4;-143.26148908176944;-212.42760969671394;-173.3909246224313;-137.8968477044235
5;-126.01718595724584;-205.49936167736382;-160.02516065398422;-119.7303322827152
6;-109.28738317083241;-198.08584741029574;-147.07992854387848;-104.3918895118929
7;-101.95741146081687;-195.9183254731088;-140.47153987007317;-95.1775583031554
8;-89.67712845227777;-189.77433431457453;-130.14276204834817;-83.38493778459097
9;-80.03162605000632;-185.9425499620449;-122.93141285953978;-77.21754603246663
10;-77.9014987979849;-184.79926416277758;-119.61341875517437;-73.12074250273072
11;-75.28635882171915;-185.6437447266419;-116.98756264070641;-69.11435031324201
12;-70.86281305991723;-183.269180656783;-113.7729791973534;-66.06701369611649
13;-69.40597204404467;-184.48803290591766;-111.69053225213383;-62.54590505289946
14;-63.029831309114016;-183.61016881735043;-107.6300648006822;-56.53523705917054
15;-64.61051119465813;-185.27664086652163;-107.94080395699959;-57.97900581695914
16;-58.47174456150695;-183.93674735627079;-103.44190654716996;-52.591659344874046
17;-55.52276061858728;-182.98782502523656;-101.57382955253964;-49.60109068192187
18;-52.316975464314055;-179.8244734676233;-98.0243199965637;-45.13452922359136
19;-51.556598234829686;-178.77154121044683;-96.5481538268301;-43.61726669461022
20;-53.56163353695359;-177.1332541132764;-96.29982179278959;-45.37610931951177
21;-51.86309094385857;-175.3926307510339;-94.02757630759493;-44.25106398876999
22;-50.4845263802398;-173.8112105842344;-92.55759053549347;-42.21866647054893
23;-42.35634999710594;-169.3474734339146;-87.74548708373113;-36.7903871377638
24;-43.67889546425371;-167.2920946107463;-86.61550004379211;-36.17650854804177
25;-40.5802476985873;-163.12569886568625;-84.1025817640043;-34.711133050979036
26;-30.960869874667225;-159.7910292883386;-79.61510178952989;-26.432718988228366
27;-42.9376119244386;-157.94933604054478;-81.61127023945488;-34.66639436520961
28;-42.593316776410404;-155.63850129086487;-80.64091491596345;-32.871039854209876
29;-36.2759807835869;-152.14208691343742;-77.59638874818404;-29.266656291724097
30;-37.562809504231836;-148.3107364437603;-75.97170815949586;-29.62360602781394
31;-36.35259863929503;-146.43995625646016;-74.61066035125297;-28.484379669538146
32;-35.40234905077244;-142.73337972035958;-72.53198692728928;-28.080425576200568
33;-33.769345249330115;-137.95002661482755;-70.27819820137704;-26.30236290841996
34;-34.7639515829525;-135.0603956024163;-69.4472716942413;-26.147684139607296
35;-31.405654862971005;-129.64021501115778;-66.95501471496277;-24.34511044559226
36;-31.190192931033504;-127.49243565536028;-65.60427557276633;-23.659062541741516
37;-32.409742276777436;-122.11301320073713;-63.89468277887469;-24.175433853977296
38;-26.366054970515645;-118.47321731481613;-60.996728305069716;-19.270211649793886
39;-24.817897275559424;-114.27599014741746;-58.79805196188426;-18.558553358481927
40;-26.8388693309673;-110.64391273798601;-57.930413142021834;-19.75431634887411
41;-30.525481504652998;-107.28824237749262;-57.19423590378382;-21.223151162947605
42;-26.131369405071982;-104.41138433435361;-55.20344278364701;-18.7551604240136
43;-25.5032445642773;-100.59115599920707;-53.88329370457926;-18.07201743908176
44;-25.903332481953775;-97.7692282604261;-52.920987134255405;-17.672255019348327
45;-23.301722849419924;-96.25444179029232;-51.68212556252815;-15.60259339154519
46;-21.487744575552327;-94.07911583457275;-50.152186775747666;-14.382109480512874
47;-20.162761763618143;-91.11316728642628;-48.85342502056274;-15.344858458171364
48;-19.38530531449005;-88.62860063224043;-47.25578203074425;-13.24912360018682
49;-15.632331665887836;-86.00507234585542;-45.178042884551395;-10.134594600209345
50;-19.197518580409657;-83.13146003233835;-44.605661681579804;-12.029943146509776
51;-17.20990194568787;-79.9306449229013;-43.16724877448492;-11.718589165109522
52;-16.777206678885392;-78.0894503698235;-42.089907150065436;-10.960035682255022
53;-21.448431183988017;-76.42759249498384;-41.86799612501091;-12.205996883385918
54;-17.385408048231387;-74.20584983483178;-40.11992678261801;-10.09753860202982
55;-13.22058139187868;-72.13639996300046;-38.472289272816255;-8.371655845273153
56;-11.404244019024231;-69.69329006424796;-37.04863680375625;-7.281306289134851
57;-17.334555518537645;-69.53152025360679;-37.54729915285352;-8.694564025502267
58;-15.49040124497215;-67.42568645634226;-36.19630692438945;-6.996418642162618
59;-11.317407576399663;-65.84416474704287;-34.84394922464101;-6.706458866487207
60;-12.86653948743004;-64.02360987610116;-34.08961327314954;-6.6370182713939405
61;-11.957603385058299;-62.18697344048196;-32.90905373315881;-5.632777393549203
62;-11.060482527617141;-61.90136831987647;-32.18808067644259;-4.777384160402767
63;-12.58447341433904;-61.245064375285814;-31.55853389790353;-5.620593420976794
64;-14.210215912791694;-61.04836004464503;-30.901221524846836;-4.993787638609093
65;-14.285384383096511;-60.21574907248224;-30.58584457315029;-6.286149604734912
66;-14.754836206759704;-59.42048975378727;-30.142545787469977;-6.155754164435388
67;-13.246289458996468;-57.505620708591856;-29.1642173412573;-5.315940461245114
68;-15.473003740362769;-56.88171921256602;-28.564453369511227;-4.992936034984305
69;-16.72148421314174;-53.96832440064037;-27.690016965440623;-4.630895039572607
70;-10.909878445045386;-51.53091209011915;-26.437644842362403;-4.042434837823246
71;-13.881402888894101;-51.19802694157702;-26.508587225738133;-4.856727945617028
72;-13.302225198139451;-48.73056588087638;-25.97665600274809;-4.485378079347932
73;-10.17791658151979;-48.46763945712262;-24.987401221920486;-3.851530248870613
74;-11.355072123299594;-46.387316683147866;-24.667454429179177;-5.004059452653913
75;-15.840929374944096;-47.309072153649744;-25.246348582990294;-6.4137718483368555
76;-11.705245227316261;-46.38716904593436;-24.322897639439482;-3.8846724563381922
77;-8.583942122080838;-44.17418630309771;-23.21491791650725;-2.29596941473502
78;-12.521184898381536;-43.84896787522773;-23.704301342010513;-4.902145005829748
79;-7.608373782670241;-43.69302376841016;-22.16140697620462;-0.36860891332686285
80;-10.402491564464635;-42.346960598499415;-21.977150024781153;-2.7760275363470006
81;-11.608211615366661;-40.94602521459372;-21.609919472919074;-3.120565266033056
82;-13.408975043663993;-41.28923677170852;-21.8787335462937;-3.8029798527682357
83;-10.388209407375012;-41.609364077733275;-21.205534382545704;-1.8092182930104541
84;-11.936221267326163;-39.85647206352756;-20.955565954002196;-3.0170099509348085
85;-9.964510234241915;-40.113242770668585;-20.273269448132442;-1.7799366209121097
86;-12.53216086345263;-38.23026805257833;-20.042508795555836;-2.851504837910167
87;-7.2106526688919335;-37.02603309697702;-18.641626089794357;0.0638816810210604
88;-9.851206353445676;-37.272002728424944;-19.03967685186324;-2.0337933956459597
89;-12.143303270532709;-37.90628393807382;-19.451978757854874;-1.7602335903699604
90;-8.9632758177445;-38.289800834585336;-18.862238677088463;-0.4321651847226165
91;-7.835194062113136;-37.087080003597215;-18.343710297146863;-1.0747940097929993
92;-4.942664275572332;-35.942229488295474;-17.13717993095743;0.2852328011090255
93;-8.92366679754772;-34.813092893360476;-17.224119760391297;-0.5897235512780845
94;-9.3510677001436;-35.21046058192923;-17.38521414323271;-0.8581690095231067
95;-6.160478789319703;-34.9998425613345;-16.879532903075706;-0.06579357908212762
96;-8.221432920537294;-34.52358698197156;-16.74263339568847;0.6716730306767013
97;-7.884652221816149;-32.92326004132461;-16.353555480007493;0.25023208391626744
98;-8.123839184445401;-32.44715514313122;-16.41543587235583;-0.05350199549153719
99;-9.033862960717187;-33.57130517917655;-16.848366187408867;-0.3538169584091688
100;-11.466011064339545;-34.095894800101654;-17.49076478937096;-0.917393658090723
101;-9.63000066508267;-33.682637002038035;-17.32162276223171;-1.0168165023710918
102;-6.002249253287061;-32.91537175232031;-16.442742622513496;0.6363607440919581
103;-5.518558931633256;-32.57686210255527;-16.322570826860836;0.5501453784096302
104;-4.077500339247447;-32.12332794088377;-15.92174700692717;0.2711257333512014
105;-5.3245410135723406;-31.45844391615621;-15.55102959604474;0.5138788241779446
106;-10.376590768604345;-31.11754809121566;-15.909717239901276;0.11184377633091128
107;-8.381621657655096;-30.133891467838097;-15.250480033396077;1.4890192874765167
108;-7.040672861820844;-30.344661434833554;-15.058384491934094;1.0602902180363842
109;-9.123434933638041;-30.496665867465527;-15.212421200538083;-0.6745706163318114
110;-9.070202158725854;-30.633768132570584;-15.133575459905998;0.38878356338863523
111;-9.050185416371951;-30.863510985871255;-15.238974538870066;-1.0616103577207379
112;-6.762318283902333;-29.952559622055343;-14.706323392738284;-0.4583451996919696
113;-6.293219808743008;-29.503269180073662;-14.23454694074951;1.3195601000497965
114;-3.7443761172238537;-29.653970150219354;-13.847457179369998;1.864989509382189
115;-6.217141082815298;-29.900039335925158;-14.302613815291814;-0.10984520402938375
116;-9.62792142380797;-31.06352901243658;-14.742864959917584;0.08541846617237629
117;-3.9810270576040097;-30.585627807993795;-14.031636390685861;1.1348959410765953
118;-7.557371653619758;-29.907519530343002;-14.095340875413381;1.8723910049835077
119;-7.123531105264661;-29.703152643331453;-14.412259555705955;0.733471384872612
120;-3.739057751867437;-29.161573831277565;-13.771696095306151;2.0437611658882506
121;-4.190147951498576;-28.997709793843168;-13.689237183067167;1.6153977177655332
122;-4.206641552956601;-28.698892098998986;-13.714058851943888;0.8748535827462416
123;-4.285077779056096;-29.070037043509103;-13.438746964273077;1.6252313383066106
124;-5.907385715841486;-27.983806813805728;-13.33657507617001;1.3239812252760492
125;-6.830001439764007;-28.225953680625597;-13.601471234126299;0.9778087442005586
126;-2.7947318621761346;-28.057245185764465;-12.836368232509475;2.3633477906233704
