iteration;avg_executed;avg_worst;avg_average;avg_best
0;-272.3893363569759;-272.3893363569759;-272.3893363569759;-272.3893363569759
1;-242.02549833878422;-263.90685103659797;-252.62532919987675;-241.34380736315566
2;-224.97559965697656;-263.0031561828995;-241.42427535389433;-220.4306146354674
3;-200.82061929119342;-256.13281011591704;-224.93905587682826;-196.13210372727755
4;-193.60454159458578;-258.73949657519034;-220.73740148238184;-187.41661240635372
5;-179.17873639204544;-254.62721919185074;-210.520079675334;-172.20161838050961
6;-160.24657260691774;-247.6419922307479;-196.7681260283826;-154.7218608970404
7;-155.24925949237013;-243.7770122312464;-190.25907577267526;-147.2721403261617
8;-140.2045939538858;-238.63134301636117;-180.1585436692374;-134.29147527990534
9;-130.83523729090604;-234.16947844884172;-171.3158356855312;-123.48560889319869
10;-126.7064029872629;-233.1026252312446;-166.969628970252;-117.85629105108814
11;-120.49542012694634;-232.68999045183608;-162.97048521342617;-112.48737651511868
12;-114.76653600007043;-231.0726116689085;-157.20182851994468;-106.46394615779218
13;-110.73367086277355;-229.19668869707712;-153.65318785072398;-102.35032588669651
14;-105.36144419354576;-228.21219243006885;-150.59271635713208;-97.9166616489211
15;-110.68887442619557;-231.96145720619322;-152.47611136258377;-99.39994427680226
16;-104.66865869837274;-231.5785600914553;-149.65649421221272;-94.50421742668769
17;-97.32648565688373;-229.57808869426268;-146.29871885963917;-90.13148310380019
18;-91.95782675935713;-229.04683015281316;-142.76986338948188;-83.77036093987239
19;-92.8323174160561;-228.4832731602317;-141.28923678807666;-83.0136614977695
20;-91.53633867762849;-226.4789316990352;-140.07228053819824;-83.26054465601258
21;-88.73020041749086;-225.40755282707863;-138.17099599478584;-80.64858337091471
22;-90.94287851802471;-225.58902607296895;-137.04018558570505;-77.7892031510748
23;-83.00252570248728;-222.92944668354284;-133.17333454054975;-73.80305243853606
24;-86.54537951011694;-220.95841692029424;-133.1272791524085;-73.7763738608105
25;-81.51849210139675;-217.68418378619276;-130.3847470066188;-70.61636328135539
26;-75.77438721965801;-215.5650235549108;-127.59453411935914;-67.31874295856696
27;-81.53932865452262;-213.3865057848981;-127.4224819881536;-70.79887881246613
28;-79.22908483133068;-208.8753196413487;-125.41315228750528;-69.20777500748025
29;-76.58011651154716;-206.14809855058607;-123.53877821837116;-67.5047474469051
30;-74.70997803050996;-202.07262564331035;-121.24276986190655;-65.61405505206446
31;-77.83018954387765;-201.1321328855332;-120.27865306246971;-64.21022110270845
32;-74.61433610925191;-194.20756997832464;-117.67294589389721;-62.68919198529558
33;-71.78090268334084;-190.40699183979135;-115.0122935039247;-60.554542461349996
34;-72.63496413647619;-186.15146875299155;-113.68056640258011;-61.80041756876048
35;-70.53227484729092;-184.3136434093243;-112.21021376843262;-59.933118558054915
36;-69.35601788754818;-179.93036866121838;-109.72698781700024;-58.98863203720161
37;-67.80861298604735;-176.72810994550255;-108.13318923116107;-58.72998360589894
38;-62.875442987997864;-175.17235462698065;-105.66742587270102;-54.63799896917029
39;-61.090736613781736;-171.1782725507031;-103.25715783355685;-52.65043079094801
40;-64.70521952555058;-165.5535854569982;-101.604592617233;-55.094387338201294
41;-65.56883513208956;-162.01637610158298;-99.94499128877338;-54.456119211510945
42;-63.346231528545886;-159.97100008026413;-98.20150721933243;-52.29575198216276
43;-59.872217421962276;-156.28519399688528;-96.47974481330712;-50.10947559798343
44;-61.141580975507345;-154.69420623816998;-95.39773256677566;-49.63424196011388
45;-57.936086823031054;-151.82649563008147;-93.30678338063449;-46.973459538926726
46;-60.14052196993573;-149.49890336884474;-92.36510101123349;-48.36317778015739
47;-56.723989324168066;-143.46379742424335;-89.75969881512506;-47.65645385541346
48;-56.69663714260807;-141.10662793077628;-88.25282956975266;-46.356598075135935
49;-51.58261629544578;-137.35018938594686;-85.5567000863213;-43.76268968128192
50;-56.65997872253109;-133.50823372547922;-84.78669237988889;-45.80099038243656
51;-56.545439895058145;-130.67903379276115;-83.50838596114049;-46.823233020647706
52;-54.62631733321505;-128.03076023593135;-81.68493998957378;-44.83892067056422
53;-55.24338702673605;-124.64825335267776;-79.93179855366307;-43.590639696834366
54;-53.99114628885975;-120.81116705921478;-78.39857242835082;-43.90429478216316
55;-48.3514858756408;-118.04396659895282;-76.21359709043891;-41.55080019003843
56;-49.198691106789724;-115.30723263947388;-74.85360369353147;-40.88380206247224
57;-50.857656604891794;-114.49878150300816;-73.94303071522208;-40.15302380103063
58;-49.969690301776495;-112.02932861456088;-72.96521136575294;-40.642335995812296
59;-48.43938271300374;-110.54692524106687;-71.60424852276472;-40.11109758666987
