iteration;avg_executed;avg_worst;avg_average;avg_best
0;-125.19392719842644;-125.19392719842644;-125.19392719842644;-125.19392719842644
1;-113.37665236129278;-117.22828165959343;-112.49538188954875;-107.76248211950391
2;-101.29830455179297;-112.28327629129785;-101.5043816566804;-90.69776880579799
3;-89.64926226405397;-110.02203376327148;-94.95322048884408;-79.47806647941911
4;-82.86642631362389;-109.21679792546284;-90.94828355622982;-72.75396978466931
5;-81.1985739648834;-112.1608630052458;-89.75182123033986;-67.62793851695692
6;-76.00600730281892;-114.38372751863459;-89.24215049523261;-64.54209214311392
7;-72.3219272754833;-115.22312224205093;-88.26591845917842;-61.62599464044566
8;-68.95394296128048;-116.74938356691004;-87.29337186874189;-58.874878762996595
9;-69.64568128089809;-117.93115239769827;-87.05690948244434;-56.79456486975978
10;-68.27043082981068;-119.7102281635255;-86.92640617116301;-55.27153962587265
11;-66.38645575092633;-122.29626564568498;-88.23984068355915;-55.501635267429975
12;-63.82625886303888;-122.48977776322836;-86.8114271075183;-52.677691659576276
13;-61.98696174146077;-123.8040079886849;-86.51319872884729;-51.4340835774946
14;-61.05447708522795;-123.44519136545978;-85.8161397483702;-50.13371095050601
15;-64.11065678603957;-125.01607325412783;-86.74212917308303;-49.8097099134694
16;-61.59045174713005;-125.62517994982689;-86.68820146381846;-49.5830684948721
17;-59.7071430302294;-126.23479402154884;-86.22505878677318;-48.42386058315803
18;-59.39099426645018;-127.0597186709549;-86.22168583161965;-47.780994935508446
19;-58.70074691434511;-127.8361443826651;-85.99634545086482;-46.53747984051132
20;-59.15550305655807;-128.0197489320976;-86.34748566612849;-46.39533037339647
21;-57.2526356563648;-128.2213360679766;-85.97408784931044;-45.929712695489684
22;-58.938589198642255;-126.68055535338102;-85.43198042484971;-45.45861546220556
23;-58.57175292313325;-126.822372489907;-85.31544450526476;-45.51332330022284
24;-58.99762454364802;-127.80732524993154;-85.46365032138401;-44.618752859459484
25;-57.860651598056656;-127.44496113171226;-85.03973094816993;-44.47088507366658
26;-56.78142728699144;-126.53994170563065;-84.66135737178658;-43.77202209636183
27;-60.12548524578112;-126.06800529144523;-84.61890317097568;-43.78414825081347
28;-60.67139226979363;-125.80659185840253;-84.64599846926714;-44.28329758626967
29;-59.309873913584966;-125.21476652395589;-84.09580693540939;-43.499076715717756
30;-58.63388193931799;-124.38144753750706;-83.55136757734209;-43.11259649222713
31;-58.455137652779484;-121.70906743958885;-82.77680327364376;-43.05291841392688
32;-56.78462931590551;-120.55777119465228;-82.12531599990909;-43.20630031388535
33;-56.45877095704549;-119.59364572775873;-81.32095506844246;-42.17033189672767
34;-56.92849129739028;-118.46862142016033;-80.91965938532341;-42.56685712790339
35;-55.54890881591414;-117.14689843135021;-80.2338665908611;-42.04372297924303
36;-56.81221860079004;-115.67423693668054;-79.7441927354029;-42.39422308442704
37;-56.15640770622822;-114.34531380284024;-79.09246220970627;-42.163640414949704
38;-53.01215640007746;-112.03191998950685;-77.89124408582268;-41.44275053166039
39;-52.22130509245378;-110.35613906684468;-77.35796449622349;-41.15589901538549
40;-53.07985208775068;-109.96870466821461;-77.27242293832126;-41.44145921795014
41;-55.3537133641543;-108.91138353223161;-76.82440197400746;-41.10727686095953
42;-53.26327838751792;-107.60242104348382;-76.0375225513484;-40.84177686047859
43;-52.93168680541795;-106.08339173338233;-75.47998678245862;-41.10601679229741
44;-53.072311495899676;-104.6866211442275;-74.84057157404176;-40.886609250274965
45;-52.80217063250506;-103.25060108988818;-74.17210970791972;-40.97623321752066
46;-52.30852328297851;-102.57164138038608;-73.63105499726008;-40.78775169628864
47;-53.64508318535186;-101.90170781077087;-73.27928200787083;-41.12654935837917
48;-53.3571146349168;-100.13196554659966;-72.35288606351969;-40.93484706527157
49;-53.31667179244902;-98.63690614462153;-71.68170935251304;-40.892179904944705
50;-52.686536894616445;-98.16253302130046;-71.17124777561149;-40.57292903232707
51;-52.220259960127684;-96.91456030967807;-70.52657567028314;-40.42604706519161
52;-53.18781570753845;-95.08521893118726;-70.00135328517314;-40.40947447329644
53;-52.43643662261774;-94.34881095321192;-69.70243216018198;-40.77585492379901
54;-50.126767290177696;-93.665169373797;-69.19882265562346;-40.36786655115307
55;-50.74063207152302;-93.0178668235567;-68.83774140778095;-40.4348211439263
56;-51.33967854150732;-92.57268312321835;-68.52013009966333;-40.17159974516368
