iteration;avg_executed;avg_worst;avg_average;avg_best
0;84.73851002397626;84.73851002397626;84.73851002397626;84.73851002397626
1;88.16973748950387;82.31451298318665;87.11025925251131;91.90600552183776
2;90.87506666514942;79.56315365285437;88.40068881368012;96.68117857654447
3;93.43265352358597;76.93097641893402;89.37433373777799;100.29931063777067
4;94.76796187365224;74.22014678868392;89.90874308769351;102.87537463461155
5;95.29752809228236;71.41931028880116;90.15177704624065;104.66965921146802
6;96.6748136851797;69.29704562821102;90.61046407410005;106.26201906752607
7;96.7242672114561;67.71071986270152;90.90351075042183;107.22910303185492
8;97.88913027429335;67.2600339182621;91.53424110823073;108.03410451927978
9;98.20837889242812;67.59628074360866;92.31835381082159;108.69064796920443
10;99.22798801523096;69.19250515572287;93.40660789747409;109.28404177970884
11;99.79985896569958;71.26686851218253;94.61413766090898;109.93544015986409
12;100.88635319342855;74.05706317455534;95.9445882897443;110.41881213454751
13;101.48838567013078;76.69931654871702;97.20885566131157;110.89072132874303
14;102.0031203867419;79.34669278713477;98.4439675865564;111.23283770089084
15;102.73372536724624;81.87050900394642;99.630847101833;111.6039603296687
16;103.10691222482714;84.14975857439391;100.73113276139519;111.9264237938519
17;104.35802610942835;86.90552326369996;101.90914501285835;112.25396635996368
18;104.81455189656879;89.13774051041783;102.92664995597521;112.54625057385681
19;105.19987905818442;91.16569684312914;103.84481149423073;112.73882033814085
20;105.38322612656692;92.99157156897655;104.67845301463561;112.88104417523046
21;105.76382287342788;94.58239199136581;105.43717207658977;113.07691908366682
22;106.45064428518258;96.24407573670871;106.17472133324397;113.2497732366743
23;106.62295439631397;97.26378413891788;106.75467474050544;113.42621012829882
24;106.8860324353802;98.41832939203032;107.32750187423353;113.60603130966224
25;107.41208244715492;99.59241636431385;107.88493452648729;113.74114927848234
26;107.69777185150691;100.47301211275051;108.36578645386655;113.89523193988575
27;107.5419593945846;101.08651781617736;108.73422024317172;113.94893272563512
28;108.0021026117926;102.0006442117707;109.14974233728512;114.05793063180248
29;108.21303225039043;102.73889813395932;109.52527516624788;114.17516889525376
30;108.56833373483464;103.43888523070684;109.8839054282027;114.26853851815305
31;108.53666635440582;103.77756189026435;110.15532747573361;114.34648288428633
32;109.07127777282669;104.5394670018251;110.47669355741888;114.45742399463906
33;109.0633654149723;104.81684875111671;110.69644194452769;114.5358543068689
34;109.24715635991586;105.43700834402377;110.96145076424975;114.65676521212842
35;109.32714572281942;105.67937913860509;111.1743727779609;114.71231484213686
36;109.16304393633332;105.68967041396346;111.32945320627225;114.7668113652197
