iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
0;16:53:31;16:53:31;16:53:31;;;16:53:31;16:53:31;16:53:38;16:53:38;16:53:38;16:53:39;16:53:39;16:55:07;16:55:07;16:55:07;16:55:07;16:55:07;16:55:07;;;16:55:16;16:55:16;;00:00:00;;00:00:06;00:00:06;00:00:00;00:01:28;00:00:00;00:00:00;;00:00:08;00:01:44
1;16:55:16;16:55:16;16:55:16;16:55:16;16:55:37;16:55:37;16:55:37;16:55:45;16:55:45;16:55:45;16:55:46;16:55:46;16:56:49;16:56:49;16:56:49;16:56:49;16:56:49;16:56:49;;;16:56:50;16:56:50;;00:00:00;00:00:21;00:00:07;00:00:08;00:00:00;00:01:02;00:00:00;00:00:00;;00:00:01;00:01:34
2;16:56:50;16:56:50;16:56:50;16:56:50;16:57:15;16:57:15;;;16:57:15;16:57:15;16:57:16;16:57:16;16:58:19;16:58:19;16:58:19;16:58:19;16:58:19;16:58:19;;;16:58:20;16:58:20;;00:00:00;00:00:24;;00:00:00;00:00:00;00:01:02;00:00:00;00:00:00;;00:00:01;00:01:29
3;16:58:20;16:58:20;16:58:20;16:58:20;16:58:44;16:58:44;;;16:58:44;16:58:44;16:58:45;16:58:45;16:59:48;16:59:48;16:59:48;16:59:48;16:59:48;16:59:48;;;16:59:50;16:59:50;;00:00:00;00:00:23;;00:00:00;00:00:00;00:01:03;00:00:00;00:00:00;;00:00:01;00:01:29
4;16:59:50;16:59:50;16:59:50;16:59:50;17:00:14;17:00:14;;;17:00:14;17:00:14;17:00:15;17:00:15;17:01:21;17:01:21;17:01:21;17:01:21;17:01:21;17:01:21;;;17:01:23;17:01:23;;00:00:00;00:00:24;;00:00:00;00:00:00;00:01:05;00:00:00;00:00:00;;00:00:01;00:01:32
5;17:01:23;17:01:23;17:01:23;17:01:23;17:01:46;17:01:46;;;17:01:47;17:01:47;17:01:47;17:01:47;17:02:52;17:02:52;17:02:52;17:02:52;17:02:52;17:02:52;;;17:02:53;17:02:53;;00:00:00;00:00:23;;00:00:00;00:00:00;00:01:04;00:00:00;00:00:00;;00:00:01;00:01:30
6;17:02:53;17:02:53;17:02:53;17:02:53;17:03:17;17:03:17;;;17:03:17;17:03:17;17:03:18;17:03:18;17:04:22;17:04:22;17:04:23;17:04:23;17:04:23;17:04:23;;;17:04:24;17:04:24;;00:00:00;00:00:23;;00:00:00;00:00:00;00:01:04;00:00:00;00:00:00;;00:00:01;00:01:30
7;17:04:24;17:04:24;17:04:24;17:04:24;17:04:49;17:04:49;;;17:04:49;17:04:49;17:04:50;17:04:50;17:05:55;17:05:55;17:05:55;17:05:55;17:05:55;17:05:55;;;17:05:57;17:05:57;;00:00:00;00:00:24;;00:00:00;00:00:01;00:01:05;00:00:00;00:00:00;;00:00:01;00:01:32
8;17:05:57;17:05:57;17:05:57;17:05:57;17:06:19;17:06:19;;;17:06:20;17:06:20;17:06:21;17:06:21;17:07:25;17:07:25;17:07:25;17:07:25;17:07:25;17:07:25;;;17:07:26;17:07:26;;00:00:00;00:00:22;;00:00:00;00:00:01;00:01:04;00:00:00;00:00:00;;00:00:01;00:01:29
9;17:07:26;17:07:26;17:07:26;17:07:26;17:07:50;17:07:50;;;17:07:50;17:07:50;17:07:51;17:07:51;17:08:57;17:08:57;17:08:57;17:08:57;17:08:57;17:08:57;;;17:08:58;17:08:58;;00:00:00;00:00:23;;00:00:00;00:00:01;00:01:05;00:00:00;00:00:00;;00:00:01;00:01:32
