ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;3683.086039482798;8820.467681684171
1;3822.155112541453;9084.986686664966
2;3901.0994854850214;9271.923526361366
3;3947.9230463144377;9402.222166318048
4;3979.2090424970334;9465.761082535655
5;4020.690625765334;9559.177094341292
6;4039.5984819181713;9632.633828499876
7;4038.683284848494;9612.034949226725
8;4060.7379648363662;9661.262158781648
9;4059.1989890727737;9671.551626003953
10;4069.5255322833377;9691.332460396497
11;4066.0164216847656;9703.045451818483
12;4067.275673736616;9711.611020940014
13;4065.5391778043604;9705.303523618257
14;4073.279120685319;9706.118661459654
15;4067.9295396841194;9709.028658247365
16;4063.9279509122644;9692.345970584483
17;4063.6258840400155;9700.098864974454
18;4060.086892968585;9702.887367793895
19;4067.4309384165176;9706.29392680224
20;4058.3113028062453;9708.4935657442
21;4057.387784259677;9693.312842188416
22;4053.8719153120123;9701.034324025146
23;4058.7779729984845;9679.583831404543
24;4059.731160090355;9678.184827306002
25;4048.22011551964;9678.799712125443
26;4052.0217533699124;9677.554445010815
27;4051.251378182076;9671.159256834664
28;4052.889684479517;9672.1348573856
29;4044.434443190034;9669.4141965558
30;4044.0003715534917;9659.136439589465
31;4032.854668091645;9647.657886397505
32;4042.740799388825;9652.028509609461
33;4035.481462279642;9651.601322570503
34;4037.390190602477;9646.685464627562
35;4033.9083589338056;9647.845042082936
36;4030.8344167575046;9636.148563142933
37;4033.0888272047105;9631.528227794575
38;4030.5809002638985;9638.479034209626
39;4035.948020769757;9637.77777737271
40;4033.022543126684;9629.729416827404
41;4022.9891441221653;9626.061853948308
42;4021.255832367107;9603.208129854062
43;4022.684725154132;9613.718049290337
44;4025.2121064661756;9627.54394115174
45;4018.592049751719;9613.397943800806
46;4019.544481622425;9620.144261220485
47;4013.372767019452;9600.581100057547
48;4019.423590637328;9619.43414912715
49;4009.3003418321755;9610.959368054058
50;4015.0690958576906;9619.13505765396
51;4007.2633792244665;9596.173346269195
52;4005.2491756760974;9606.178975817573
53;4008.5096645615895;9600.978383175667
54;4003.3468455278075;9602.342543527599
55;4002.929021061942;9589.52311205799
56;4005.423596272148;9596.821116554407
57;4003.907879155767;9582.663094229958
58;3999.953493557478;9595.914929019638
59;3998.1154419730024;9582.717811705403
60;3991.854131682682;9582.144542421753
